h,Metric,Best fixed model,Best observed,Delta,Oracle,best_fixed_mean,best_fixed_std,best_observed_mean,best_observed_std,delta_mean,delta_std,oracle_mean,oracle_std,gap_mean,candidate_set,feature_set,balancing_mode,decision_rule,confidence_threshold,scale,source_sheet,needs_manual_verification,verification_note
1,directional_accuracy,esn,logistic_regression,0.00228244699254946,0.5061108886953104,0.4927528793504733,0.003311517354334932,0.4950353263430228,0.003961765583968438,0.00228244699254946,0.001723535818053527,0.5061108886953104,0.003715551884749823,0.01107556235228757,top_3,full,default,top_1,,fraction,summary,False,
1,rmse,naive_zero,catboost_classifier,1.510854654395473e-06,0.02705821637307445,0.02712729431256389,0.0009554011434088001,0.0271257834579095,0.0009559281564485955,1.510854654395473e-06,2.7829941035548e-06,0.02705821637307445,0.0009421516304181896,6.756708483504442e-05,top_4,full,default,confidence_fallback_0.50,0.5,raw log-return units,summary,False,
5,directional_accuracy,naive_mean,logistic_regression,0.003389033350057234,0.5279545266441396,0.5069779241099026,0.004469795016297322,0.5103669574599599,0.003797249635606875,0.003389033350057234,0.002206634101247392,0.5279545266441396,0.004308393045079541,0.01758756918417964,top_3,full,balanced,top_1,,fraction,summary,False,
5,rmse,naive_zero,catboost_classifier,2.342621528340974e-06,0.05768856109146024,0.05790298961790308,0.00182324135563184,0.05790064699637474,0.001822497953363717,2.342621528340974e-06,1.573107969145292e-06,0.05768856109146024,0.001814249047297026,0.0002120859049144878,top_4,full,balanced,confidence_fallback_0.50,0.5,raw log-return units,summary,False,
20,directional_accuracy,naive_mean,logistic_regression,0.001708793655167997,0.547204923576005,0.5246075982369401,0.006738605213972773,0.5263163918921081,0.006660345849890056,0.001708793655167997,0.001876149992190314,0.547204923576005,0.006108766819040891,0.02088853168389685,top_3,full,default,top_1,,fraction,summary,False,
20,rmse,naive_zero,random_forest_classifier,3.353906604880514e-05,0.1093695376746671,0.1112580410818859,0.003187982423739327,0.1112245020158371,0.003211741209910861,3.353906604880514e-05,6.8330254735241e-05,0.1093695376746671,0.003053740136049182,0.001854964341170011,top_6,full,default,top_1,,raw log-return units,summary,False,
