selection_scope,k_bucket,base_config_id,with_chaos_config_id,base_n_clusters,with_chaos_n_clusters,base_cluster_share_max,with_chaos_cluster_share_max,base_cluster_share_min,with_chaos_cluster_share_min,base_silhouette,with_chaos_silhouette,base_stability_ari_mean,with_chaos_stability_ari_mean,base_stability_nmi_mean,with_chaos_stability_nmi_mean,delta_silhouette_with_chaos_minus_base,delta_share_max_with_chaos_minus_base,delta_stability_ari_with_chaos_minus_base
best_k,2,cfg_0029,cfg_0295,2.0,2,0.8971291866028708,0.8995215311004785,0.10287081339712918,0.10047846889952153,0.7107809823291869,0.7157801466339454,0.9745381316033325,0.8482247725346135,0.9439557454705036,0.8135368781344233,0.004999164304758552,0.0023923444976077235,-0.126313359068719
best_k,3,cfg_0191,cfg_0443,3.0,3,0.47607655502392343,0.48086124401913877,0.14354066985645933,0.18421052631578946,0.3859566471671503,0.41658728775651677,,0.7698859559019466,,0.7892922929490093,0.030630640589366487,0.004784688995215336,
best_k,4,cfg_0185,cfg_0444,4.0,4,0.43779904306220097,0.48086124401913877,0.10526315789473684,0.0645933014354067,0.4243618480504958,0.41586685014696134,0.8786421325815836,,0.8352794739265558,,-0.008494997903534474,0.0430622009569378,
best_k,5,cfg_0193,cfg_0445,5.0,5,0.42105263157894735,0.3444976076555024,0.05502392344497608,0.0645933014354067,0.3758025778830482,0.36790344052130663,,0.6872448986832086,,0.7509961511173068,-0.007899137361741582,-0.07655502392344493,
best_k,6,cfg_0194,cfg_0446,6.0,6,0.2751196172248804,0.3444976076555024,0.05502392344497608,0.023923444976076555,0.3229718392963017,0.38154779374759895,,,,,0.05857595445129726,0.06937799043062204,
best_k,7,cfg_0195,cfg_0440,7.0,7,0.2751196172248804,0.3492822966507177,0.03588516746411483,0.02631578947368421,0.32605190774745546,0.37557784218855106,,0.6424367270879361,,0.7433427059846615,0.0495259344410956,0.07416267942583732,
best_k,8,cfg_0196,cfg_0448,8.0,8,0.2751196172248804,0.24162679425837322,0.03588516746411483,0.023923444976076555,0.31897034300926597,0.35756096537080784,,0.6245824350631745,,0.7513109541611376,0.03859062236154187,-0.03349282296650716,
overall,overall,,cfg_0448,,8,,0.24162679425837322,,0.023923444976076555,,0.35756096537080784,,0.6245824350631745,,0.7513109541611376,,,
