2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g001 series=qdyn.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g001 series=qdyn.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g001 series=rth.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g001 series=rth.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g001 series=rth.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g001 series=silj.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g001 series=silj.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g001 series=silj.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:56 | INFO | candidate_done model=lstm_forecast candidate_id=lstm_g001 elapsed=1.44s
2026-03-29 19:59:56 | INFO | candidate_start model=lstm_forecast candidate_id=lstm_g002 compare_group_id=lstm_grp_002
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=afk.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=afk.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=afk.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=dwm.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=dwm.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=dwm.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=effe.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=effe.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=effe.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=fdis.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=fdis.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=fdis.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=iyg.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=iyg.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=iyg.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=jkf.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=jkf.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=jkf.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=jkh.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=jkh.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=jkh.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=mlpg.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=mlpg.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=mlpg.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=oil.us horizon=1 fold=1 err=input.size(-1) must be equal to input_size. Expected 64, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=oil.us horizon=5 fold=1 err=input.size(-1) must be equal to input_size. Expected 32, got 1
2026-03-29 19:59:56 | WARNING | candidate_fold_error model=lstm_forecast candidate=lstm_g002 series=oil.us horizon=20 fold=1 err=input.size(-1) must be equal to input_size. Expected 16, got 1
