run_id,model_name,series_id,ticker,market,horizon,fold_id,rmse,mae,directional_accuracy
forecasting_benchmark_v2,ridge_lag,RU:ABIO,ABIO,RU,5,2,0.10975614036677979,0.07069511000438691,0.5326530612244897
forecasting_benchmark_v2,ridge_lag,RU:ABIO,ABIO,RU,5,3,0.07541385153569742,0.049245502830293546,0.5265306122448979
forecasting_benchmark_v2,esn,RU:ABIO,ABIO,RU,5,1,0.13658438295856568,0.07077200642666147,0.48367346938775513
forecasting_benchmark_v2,esn,RU:ABIO,ABIO,RU,5,2,0.10916778799411196,0.06960127310100911,0.5612244897959183
forecasting_benchmark_v2,esn,RU:ABIO,ABIO,RU,5,3,0.07573504877723207,0.0496865263450444,0.5040816326530613
forecasting_benchmark_v2,chaotic_esn,RU:ABIO,ABIO,RU,5,1,0.18978518258228025,0.1011947745215611,0.5163265306122449
forecasting_benchmark_v2,chaotic_esn,RU:ABIO,ABIO,RU,5,2,0.1200897306197254,0.07966906753596967,0.573469387755102
forecasting_benchmark_v2,chaotic_esn,RU:ABIO,ABIO,RU,5,3,0.10271675140447671,0.06226002183834578,0.45918367346938777
forecasting_benchmark_v2,transient_chaotic_esn,RU:ABIO,ABIO,RU,5,1,0.13541146234296048,0.06982451571081764,0.48775510204081635
forecasting_benchmark_v2,transient_chaotic_esn,RU:ABIO,ABIO,RU,5,2,0.1102147686464454,0.0711537592767044,0.5489795918367347
forecasting_benchmark_v2,transient_chaotic_esn,RU:ABIO,ABIO,RU,5,3,0.07710485943295409,0.05163421512568003,0.5387755102040817
forecasting_benchmark_v2,vanilla_mlp,RU:ABIO,ABIO,RU,5,1,0.13305224854455355,0.06545139499905671,0.5081632653061224
forecasting_benchmark_v2,vanilla_mlp,RU:ABIO,ABIO,RU,5,2,0.10549988406355024,0.06859027326325576,0.46122448979591835
forecasting_benchmark_v2,vanilla_mlp,RU:ABIO,ABIO,RU,5,3,0.06912177567414385,0.04447048828070053,0.48367346938775513
forecasting_benchmark_v2,chaotic_mlp,RU:ABIO,ABIO,RU,5,1,0.13366413815253883,0.06713477332806697,0.46122448979591835
forecasting_benchmark_v2,chaotic_mlp,RU:ABIO,ABIO,RU,5,2,0.10626849488516507,0.07125567847164697,0.4530612244897959
forecasting_benchmark_v2,chaotic_mlp,RU:ABIO,ABIO,RU,5,3,0.06874043307568616,0.044242347355553796,0.5142857142857142
forecasting_benchmark_v2,chaotic_logistic_net,RU:ABIO,ABIO,RU,5,1,0.14017782979708457,0.07428605291319923,0.5326530612244897
