return_space,horizon,rmse,mae,directional_accuracy
log,1,0.02951579402357596,0.017744445056121844,0.4456620847647565
log,5,0.061553153035432524,0.03958185104335515,0.4557986446099722
log,20,0.11718220152590529,0.08319823043965069,0.4676857087715936
simple,1,0.056876969464540794,0.021610108167155404,0.4456620847647565
simple,5,0.10301544551706966,0.0470121517765483,0.4557986446099722
simple,20,0.4130926763512145,0.12060510931606706,0.4676857087715936
