horizon,model_name,n_tasks,rmse,mae,directional_accuracy
1,chaotic_esn,1254,0.06228349901788922,0.0251602781435108,0.48483002859815927
1,chaotic_logistic_net,1254,0.05868842495713868,0.0244122136137606,0.480195262549162
1,chaotic_lstm_forecast,1254,0.0558336655245589,0.02057579660204509,0.4866548550976318
1,chaotic_mlp,1254,0.056783717619111884,0.021937548702544,0.48085635393038867
1,esn,1254,0.056210888138755924,0.020960112238506537,0.49250631768914055
1,lstm_forecast,1254,0.05582103267242516,0.02059116843504465,0.4854297046683988
1,naive_mean,1254,0.0557722546413261,0.020512807471247757,0.482672728662215
1,naive_zero,1254,0.05576224266076557,0.0204699332721818,0.043436592057274126
1,ridge_lag,1254,0.05608632833347655,0.020945544468312535,0.48900213896637346
1,transient_chaotic_esn,1254,0.05620075803039428,0.02096311257521719,0.49181472238883855
1,vanilla_mlp,1254,0.05620385251410642,0.021182674316338457,0.48488422780473883
5,chaotic_esn,1254,0.11201061238269507,0.053775874819338716,0.4993277249914351
5,chaotic_logistic_net,1254,0.1037971844083259,0.04859976322663368,0.49509864947831417
5,chaotic_lstm_forecast,1254,0.101458959189402,0.04542647013558497,0.49987154858605276
5,chaotic_mlp,1254,0.10223274947579009,0.04665987065229654,0.49474016529394366
5,esn,1254,0.10258003852099179,0.04681453249670047,0.5019029674506928
5,lstm_forecast,1254,0.10142219334411542,0.04542602293453465,0.49657196799022596
5,naive_mean,1254,0.10116156692226756,0.04518594748448517,0.5065629888401411
5,naive_zero,1254,0.1010581226252524,0.04497848906642276,0.018234120848950142
5,ridge_lag,1254,0.10225336360390093,0.04657583698275082,0.5020307528940267
5,transient_chaotic_esn,1254,0.1028815907267472,0.04722406763004735,0.5019966526823242
5,vanilla_mlp,1254,0.1023135194882779,0.04646679411323622,0.4974475516535878
20,chaotic_esn,1254,2.6129044072342085,0.2929501176085434,0.5167533695083334
20,chaotic_logistic_net,1254,0.1929131882109444,0.10673536474244738,0.5039867924363737
20,chaotic_lstm_forecast,1254,0.1883805383106617,0.10148960026732783,0.5143409060003373
20,chaotic_mlp,1254,0.19142324793688512,0.1052986193894758,0.4990725142102161
20,esn,1254,0.19027527374266137,0.10346882570979436,0.5172841751820393
20,lstm_forecast,1254,0.18751302017816082,0.1008740662108326,0.516211608214844
20,naive_mean,1254,0.18712884906791344,0.1006686989445923,0.5253711129354567
20,naive_zero,1254,0.18633454001081323,0.09942557427857014,0.007298793675132788
20,ridge_lag,1254,0.18848505357310735,0.10274662844077372,0.5183468911155182
20,transient_chaotic_esn,1254,0.20393807358206875,0.10633061482401417,0.5173274589657749
20,vanilla_mlp,1254,0.21472324801593526,0.1066680920603659,0.5085491742435035
