run_id,model_name,series_id,ticker,market,horizon,fold_id,n_obs,mae,mse,rmse,directional_accuracy
forecasting_benchmark_v2,naive_zero,RU:ABIO,ABIO,RU,1,1,484,0.027331700099676837,0.0030782894338157686,0.05548233443012081,0.01859504132231405
forecasting_benchmark_v2,naive_zero,RU:ABIO,ABIO,RU,1,2,484,0.027965034381482956,0.002304655719477951,0.04800682992531324,0.008264462809917356
forecasting_benchmark_v2,naive_zero,RU:ABIO,ABIO,RU,1,3,484,0.018871963007609228,0.000820592847696368,0.02864599182601936,0.004132231404958678
forecasting_benchmark_v2,naive_mean,RU:ABIO,ABIO,RU,1,1,484,0.027237979271781315,0.0030964637567011096,0.05564587816452454,0.5392561983471075
forecasting_benchmark_v2,naive_mean,RU:ABIO,ABIO,RU,1,2,484,0.02792261705559592,0.002306426785949363,0.0480252723672585,0.5516528925619835
forecasting_benchmark_v2,naive_mean,RU:ABIO,ABIO,RU,1,3,484,0.018925882315719407,0.0008191970744023103,0.028621619003863327,0.46487603305785125
forecasting_benchmark_v2,ridge_lag,RU:ABIO,ABIO,RU,1,1,484,0.027611845214469966,0.0031848323309545384,0.05643431873385678,0.4855371900826446
forecasting_benchmark_v2,ridge_lag,RU:ABIO,ABIO,RU,1,2,484,0.028572356124183743,0.0023882436977947516,0.04886966029956369,0.5371900826446281
forecasting_benchmark_v2,ridge_lag,RU:ABIO,ABIO,RU,1,3,484,0.020035202145297696,0.0008727803402775094,0.029542855993920245,0.4896694214876033
forecasting_benchmark_v2,esn,RU:ABIO,ABIO,RU,1,1,484,0.02860245243237939,0.0037178610296865018,0.060974265306656235,0.4834710743801653
forecasting_benchmark_v2,esn,RU:ABIO,ABIO,RU,1,2,484,0.028138287082347856,0.0024007063657102232,0.048997003640122966,0.5371900826446281
forecasting_benchmark_v2,esn,RU:ABIO,ABIO,RU,1,3,484,0.0201813764085637,0.0008834610046999147,0.029723071925692922,0.4669421487603306
forecasting_benchmark_v2,chaotic_esn,RU:ABIO,ABIO,RU,1,1,484,0.034823372240456466,0.004119165557543169,0.06418072574802476,0.4607438016528926
forecasting_benchmark_v2,chaotic_esn,RU:ABIO,ABIO,RU,1,2,484,0.03225020993234713,0.0027824445756964213,0.05274888222224639,0.5041322314049587
forecasting_benchmark_v2,chaotic_esn,RU:ABIO,ABIO,RU,1,3,484,0.023370928300382662,0.0010724513114044637,0.032748302420193685,0.4318181818181818
forecasting_benchmark_v2,transient_chaotic_esn,RU:ABIO,ABIO,RU,1,1,484,0.029154598783813053,0.003841519580367487,0.0619799933879271,0.5
forecasting_benchmark_v2,transient_chaotic_esn,RU:ABIO,ABIO,RU,1,2,484,0.028099422136993058,0.0023863223017984527,0.04884999797132496,0.5227272727272727
forecasting_benchmark_v2,transient_chaotic_esn,RU:ABIO,ABIO,RU,1,3,484,0.020010654228521278,0.0008704246581807209,0.0295029601596301,0.4731404958677686
forecasting_benchmark_v2,vanilla_mlp,RU:ABIO,ABIO,RU,1,1,484,0.02785542099000019,0.003200519122689203,0.056573130748520564,0.506198347107438
forecasting_benchmark_v2,vanilla_mlp,RU:ABIO,ABIO,RU,1,2,484,0.030918124477286948,0.002398832052674469,0.048977873092596304,0.45454545454545453
forecasting_benchmark_v2,vanilla_mlp,RU:ABIO,ABIO,RU,1,3,484,0.02007825094448985,0.000846954825003637,0.0291024882957392,0.4628099173553719
forecasting_benchmark_v2,chaotic_mlp,RU:ABIO,ABIO,RU,1,1,484,0.029000754697297987,0.0030764692908253526,0.05546592909909066,0.45867768595041325
forecasting_benchmark_v2,chaotic_mlp,RU:ABIO,ABIO,RU,1,2,484,0.029944500539851038,0.0023463027241749776,0.04843864907462818,0.4462809917355372
forecasting_benchmark_v2,chaotic_mlp,RU:ABIO,ABIO,RU,1,3,484,0.019049476075329967,0.0008195048345531647,0.0286269948571827,0.4834710743801653
forecasting_benchmark_v2,chaotic_logistic_net,RU:ABIO,ABIO,RU,1,1,484,0.027244262513145833,0.0031076135543617127,0.055745973436309396,0.5392561983471075
forecasting_benchmark_v2,chaotic_logistic_net,RU:ABIO,ABIO,RU,1,2,484,0.03808271670046484,0.0027312738834287314,0.0522615909002848,0.44008264462809915
forecasting_benchmark_v2,chaotic_logistic_net,RU:ABIO,ABIO,RU,1,3,484,0.019019235282585267,0.0008186576337262864,0.02861219379436478,0.46487603305785125
forecasting_benchmark_v2,lstm_forecast,RU:ABIO,ABIO,RU,1,1,484,0.027191406327437738,0.0031417538245498105,0.0560513498905228,0.5392561983471075
forecasting_benchmark_v2,lstm_forecast,RU:ABIO,ABIO,RU,1,2,484,0.029130064074897807,0.002312368332191648,0.048087091118008456,0.4380165289256198
forecasting_benchmark_v2,lstm_forecast,RU:ABIO,ABIO,RU,1,3,484,0.019025238611048732,0.0008219561872269967,0.02866977829050997,0.4607438016528926
forecasting_benchmark_v2,chaotic_lstm_forecast,RU:ABIO,ABIO,RU,1,1,484,0.027226917344805028,0.0031078771294538433,0.055748337459101356,0.5371900826446281
forecasting_benchmark_v2,chaotic_lstm_forecast,RU:ABIO,ABIO,RU,1,2,484,0.028589558819380866,0.0023025829369974697,0.04798523665667879,0.44008264462809915
forecasting_benchmark_v2,chaotic_lstm_forecast,RU:ABIO,ABIO,RU,1,3,484,0.01901191650024265,0.0008219661920836217,0.028669952774352834,0.45041322314049587
forecasting_benchmark_v2,naive_zero,RU:ABIO,ABIO,RU,5,1,490,0.07349902171557605,0.03848330594099565,0.19617162368955315,0.0
forecasting_benchmark_v2,naive_zero,RU:ABIO,ABIO,RU,5,2,490,0.06754424821925711,0.012818506534447853,0.11321884354844759,0.0020408163265306124
forecasting_benchmark_v2,naive_zero,RU:ABIO,ABIO,RU,5,3,490,0.04398292827499075,0.004760539545580877,0.06899666329309612,0.004081632653061225
forecasting_benchmark_v2,naive_mean,RU:ABIO,ABIO,RU,5,1,490,0.0735840940456324,0.038942855227967345,0.19733944164299072,0.5326530612244897
forecasting_benchmark_v2,naive_mean,RU:ABIO,ABIO,RU,5,2,490,0.06716087412142702,0.012911091842966243,0.11362698554025907,0.5775510204081633
forecasting_benchmark_v2,naive_mean,RU:ABIO,ABIO,RU,5,3,490,0.04417251113853345,0.00474964505008375,0.06891766863500064,0.4816326530612245
forecasting_benchmark_v2,ridge_lag,RU:ABIO,ABIO,RU,5,1,490,0.07722558826089795,0.03903406736604907,0.19757041116029767,0.5081632653061224
forecasting_benchmark_v2,ridge_lag,RU:ABIO,ABIO,RU,5,2,490,0.07309188438018203,0.013873397312024874,0.11778538666585459,0.5326530612244897
forecasting_benchmark_v2,ridge_lag,RU:ABIO,ABIO,RU,5,3,490,0.0493087721969355,0.005705081469204271,0.07553198970770114,0.5265306122448979
forecasting_benchmark_v2,esn,RU:ABIO,ABIO,RU,5,1,490,0.07874520766894776,0.03949310268441506,0.19872871630545763,0.48367346938775513
forecasting_benchmark_v2,esn,RU:ABIO,ABIO,RU,5,2,490,0.07194604786029024,0.013728713162187173,0.11716959145694404,0.5612244897959183
forecasting_benchmark_v2,esn,RU:ABIO,ABIO,RU,5,3,490,0.04974946195172394,0.005756000483202536,0.0758683101380447,0.5040816326530613
forecasting_benchmark_v2,chaotic_esn,RU:ABIO,ABIO,RU,5,1,490,0.10626586360644583,0.051523300628342115,0.22698744597078957,0.5163265306122449
forecasting_benchmark_v2,chaotic_esn,RU:ABIO,ABIO,RU,5,2,490,0.08101676054474038,0.015582068341914997,0.12482815524518096,0.573469387755102
forecasting_benchmark_v2,chaotic_esn,RU:ABIO,ABIO,RU,5,3,490,0.06381723984191259,0.012260526905690692,0.11072726360608164,0.45918367346938777
forecasting_benchmark_v2,transient_chaotic_esn,RU:ABIO,ABIO,RU,5,1,490,0.07778503793448258,0.03911725081221339,0.19778081507621864,0.48775510204081635
forecasting_benchmark_v2,transient_chaotic_esn,RU:ABIO,ABIO,RU,5,2,490,0.07345074036826912,0.013940868745490043,0.11807145609964351,0.5489795918367347
forecasting_benchmark_v2,transient_chaotic_esn,RU:ABIO,ABIO,RU,5,3,490,0.05170020420678544,0.005977298146638899,0.07731298821439318,0.5387755102040817
forecasting_benchmark_v2,vanilla_mlp,RU:ABIO,ABIO,RU,5,1,490,0.07340287275428467,0.03865801795642283,0.19661642341478708,0.5081632653061224
forecasting_benchmark_v2,vanilla_mlp,RU:ABIO,ABIO,RU,5,2,490,0.07117863692232075,0.01286850851049626,0.11343944865211687,0.46122448979591835
forecasting_benchmark_v2,vanilla_mlp,RU:ABIO,ABIO,RU,5,3,490,0.04460822882538719,0.0048005066483611655,0.06928568862587112,0.48367346938775513
forecasting_benchmark_v2,chaotic_mlp,RU:ABIO,ABIO,RU,5,1,490,0.07514308047766897,0.038724626027590595,0.19678573634181568,0.46122448979591835
forecasting_benchmark_v2,chaotic_mlp,RU:ABIO,ABIO,RU,5,2,490,0.0739309528904669,0.012893903201018507,0.1135513240830705,0.4530612244897959
forecasting_benchmark_v2,chaotic_mlp,RU:ABIO,ABIO,RU,5,3,490,0.04437809616517142,0.004753896874031193,0.06894850886009932,0.5142857142857142
forecasting_benchmark_v2,chaotic_logistic_net,RU:ABIO,ABIO,RU,5,1,490,0.08202057424733146,0.041273552893208776,0.20315893505629717,0.5326530612244897
forecasting_benchmark_v2,chaotic_logistic_net,RU:ABIO,ABIO,RU,5,2,490,0.07406872380356333,0.012613028849540605,0.11230774171685852,0.4204081632653061
forecasting_benchmark_v2,chaotic_logistic_net,RU:ABIO,ABIO,RU,5,3,490,0.04551475195900798,0.0048046391801374305,0.06931550461575989,0.4816326530612245
forecasting_benchmark_v2,lstm_forecast,RU:ABIO,ABIO,RU,5,1,490,0.0735255878800441,0.03878826682152972,0.19694737068955687,0.5285714285714286
forecasting_benchmark_v2,lstm_forecast,RU:ABIO,ABIO,RU,5,2,490,0.06775961932665682,0.012788035228982786,0.11308419531032082,0.41836734693877553
forecasting_benchmark_v2,lstm_forecast,RU:ABIO,ABIO,RU,5,3,490,0.04464838206948038,0.004760084758146518,0.06899336749388682,0.47551020408163264
forecasting_benchmark_v2,chaotic_lstm_forecast,RU:ABIO,ABIO,RU,5,1,490,0.07349975445153145,0.038510667495862114,0.19624135011730354,0.5183673469387755
forecasting_benchmark_v2,chaotic_lstm_forecast,RU:ABIO,ABIO,RU,5,2,490,0.07344217820467545,0.013340035268065238,0.11549907042078407,0.4714285714285714
forecasting_benchmark_v2,chaotic_lstm_forecast,RU:ABIO,ABIO,RU,5,3,490,0.04563672820295614,0.004813360541941169,0.06937838670610011,0.4816326530612245
forecasting_benchmark_v2,naive_zero,RU:ABIO,ABIO,RU,20,1,486,0.18440604462215235,0.1632848559984976,0.40408520883409926,0.00823045267489712
forecasting_benchmark_v2,naive_zero,RU:ABIO,ABIO,RU,20,2,486,0.16821087067405763,0.08141387774101627,0.28533117204577607,0.0
forecasting_benchmark_v2,naive_zero,RU:ABIO,ABIO,RU,20,3,486,0.09996425572143701,0.019049269268925167,0.1380190902336527,0.0
forecasting_benchmark_v2,naive_mean,RU:ABIO,ABIO,RU,20,1,486,0.18932801421509493,0.17124189566633694,0.4138138418012826,0.5041152263374485
forecasting_benchmark_v2,naive_mean,RU:ABIO,ABIO,RU,20,2,486,0.1685196599717089,0.08314550498283392,0.28834962282415755,0.49794238683127573
forecasting_benchmark_v2,naive_mean,RU:ABIO,ABIO,RU,20,3,486,0.10035486559667887,0.01885509927630148,0.1373138713906992,0.5
forecasting_benchmark_v2,ridge_lag,RU:ABIO,ABIO,RU,20,1,486,0.20385518506009037,0.17439413849884675,0.4176052424226099,0.48148148148148145
forecasting_benchmark_v2,ridge_lag,RU:ABIO,ABIO,RU,20,2,486,0.18343951062985459,0.09009217296246236,0.30015358229157013,0.5288065843621399
forecasting_benchmark_v2,ridge_lag,RU:ABIO,ABIO,RU,20,3,486,0.10073255375860525,0.019427281627127407,0.13938178369904514,0.5390946502057613
