config_id,feature_set,algorithm,scaler,space_type,n_clusters_requested,cluster_label,rank_within_cluster,feature_name,z_score,abs_z_score,cluster_mean,global_mean
cfg_0029,base,gmm,identity,pca,2,0,1,kurtosis,-0.19766716295366926,0.19766716295366926,20.86368244868299,40.242218995358584
cfg_0029,base,gmm,identity,pca,2,0,2,lb_ret_stat_50,-0.14122934024966138,0.14122934024966138,93.69221239869874,105.01915321269621
cfg_0029,base,gmm,identity,pca,2,0,3,spectral_flatness,0.11475642107261713,0.11475642107261713,0.9394131416269749,0.9359839834832223
cfg_0029,base,gmm,identity,pca,2,0,4,hill_tail_index,0.06927442454703035,0.06927442454703035,2.7107283297700637,2.6703425530703555
cfg_0029,base,gmm,identity,pca,2,0,5,vr_q10,0.06651443832818843,0.06651443832818843,0.8653504959965355,0.8527129075967099
cfg_0029,base,gmm,identity,pca,2,1,1,kurtosis,1.7238415373866498,1.7238415373866498,209.2410842279945,40.242218995358584
cfg_0029,base,gmm,identity,pca,2,1,2,lb_ret_stat_50,1.2316512231075138,1.2316512231075138,203.80061379988356,105.01915321269621
cfg_0029,base,gmm,identity,pca,2,1,3,spectral_flatness,-1.0007827419123467,1.0007827419123467,0.9060785345551481,0.9359839834832223
cfg_0029,base,gmm,identity,pca,2,1,4,hill_tail_index,-0.6041374233752581,0.6041374233752581,2.318141012084532,2.6703425530703555
cfg_0029,base,gmm,identity,pca,2,1,5,vr_q10,-0.5800677761179291,0.5800677761179291,0.742501380854044,0.8527129075967099
cfg_0185,base,gmm,quantile,pca,4,0,1,spectral_flatness,-1.764897024414677,1.764897024414677,0.8832452264917813,0.9359839834832223
cfg_0185,base,gmm,quantile,pca,4,0,2,robust_kurtosis,1.5333373736913336,1.5333373736913336,1.8911842135562993,1.570934307768045
cfg_0185,base,gmm,quantile,pca,4,0,3,lb_ret_stat_50,1.5042749577832901,1.5042749577832901,225.66570855784673,105.01915321269621
cfg_0185,base,gmm,quantile,pca,4,0,4,abs_acf_lag_25,1.3771704688240753,1.3771704688240753,0.13188895810786908,0.06670818109672769
cfg_0185,base,gmm,quantile,pca,4,0,5,tail_ratio_upper,1.376545904585757,1.376545904585757,14.884035932483226,8.469904291531908
cfg_0185,base,gmm,quantile,pca,4,1,1,abs_acf_lag_2,-1.3427485475334042,1.3427485475334042,0.09418911881865284,0.20528365954371028
cfg_0185,base,gmm,quantile,pca,4,1,2,abs_acf_lag_5,-1.2268742778781014,1.2268742778781014,0.05502438705079936,0.12675023477946817
cfg_0185,base,gmm,quantile,pca,4,1,3,abs_acf_lag_10,-1.0825336040974645,1.0825336040974645,0.03663980875329432,0.09597633635173025
cfg_0185,base,gmm,quantile,pca,4,1,4,abs_acf_lag_25,-0.8925000170307624,0.8925000170307624,0.024466609766640335,0.06670818109672769
cfg_0185,base,gmm,quantile,pca,4,1,5,abs_acf_lag_50,-0.7826253892195311,0.7826253892195311,0.01025806227373359,0.041131476100070945
cfg_0185,base,gmm,quantile,pca,4,2,1,hill_tail_index,-0.6353953715902544,0.6353953715902544,2.2999181755188545,2.6703425530703555
cfg_0185,base,gmm,quantile,pca,4,2,2,tail_ratio_upper,0.3699829505295178,0.3699829505295178,10.193871027183958,8.469904291531908
cfg_0185,base,gmm,quantile,pca,4,2,3,abs_acf_lag_2,0.3666854010433872,0.3666854010433872,0.23562198781398172,0.20528365954371028
cfg_0185,base,gmm,quantile,pca,4,2,4,hurst_rs,0.36301189398414024,0.36301189398414024,0.5643408196625573,0.5520575309458361
cfg_0185,base,gmm,quantile,pca,4,2,5,robust_kurtosis,0.3300329299849031,0.3300329299849031,1.6398643531371493,1.570934307768045
cfg_0185,base,gmm,quantile,pca,4,3,1,hill_tail_index,0.9205821208371348,0.9205821208371348,3.207025812570143,2.6703425530703555
cfg_0185,base,gmm,quantile,pca,4,3,2,tail_ratio_upper,-0.6840459864500559,0.6840459864500559,5.282534374598113,8.469904291531908
cfg_0185,base,gmm,quantile,pca,4,3,3,robust_kurtosis,-0.6424826905446823,0.6424826905446823,1.4367466041042474,1.570934307768045
cfg_0185,base,gmm,quantile,pca,4,3,4,lz_complexity,0.44224679160391833,0.44224679160391833,1.0484121122123207,1.040113722720113
cfg_0185,base,gmm,quantile,pca,4,3,5,acf_lag_25,-0.3941909129257411,0.3941909129257411,-0.02338947582615135,-0.011977912573268126
cfg_0191,base,agglomerative,quantile,pca,3,0,1,hill_tail_index,-0.6945256953361588,0.6945256953361588,2.265446231989936,2.6703425530703555
cfg_0191,base,agglomerative,quantile,pca,3,0,2,tail_ratio_upper,0.6297070471065845,0.6297070471065845,11.404077341570385,8.469904291531908
cfg_0191,base,agglomerative,quantile,pca,3,0,3,robust_kurtosis,0.6157247471524657,0.6157247471524657,1.6995333986467678,1.570934307768045
cfg_0191,base,agglomerative,quantile,pca,3,0,4,abs_acf_lag_2,0.5185003711836764,0.5185003711836764,0.24818265258915934,0.20528365954371028
cfg_0191,base,agglomerative,quantile,pca,3,0,5,lz_complexity,-0.43974439421542444,0.43974439421542444,1.031862288612519,1.040113722720113
cfg_0191,base,agglomerative,quantile,pca,3,1,1,hill_tail_index,0.9144012518890924,0.9144012518890924,3.203422474184036,2.6703425530703555
cfg_0191,base,agglomerative,quantile,pca,3,1,2,tail_ratio_upper,-0.6766429582825204,0.6766429582825204,5.317029408181851,8.469904291531908
cfg_0191,base,agglomerative,quantile,pca,3,1,3,robust_kurtosis,-0.6254962910535344,0.6254962910535344,1.4402943509537394,1.570934307768045
cfg_0191,base,agglomerative,quantile,pca,3,1,4,lz_complexity,0.4425689919039486,0.4425689919039486,1.0484181580302552,1.040113722720113
cfg_0191,base,agglomerative,quantile,pca,3,1,5,hurst_dfa,-0.4077956132553083,0.4077956132553083,0.4842134951459294,0.5046461815203552
cfg_0191,base,agglomerative,quantile,pca,3,2,1,abs_acf_lag_10,-1.1522231247966297,1.1522231247966297,0.03281994195873384,0.09597633635173025
cfg_0191,base,agglomerative,quantile,pca,3,2,2,abs_acf_lag_5,-1.1272281873914713,1.1272281873914713,0.06084992308319738,0.12675023477946817
cfg_0191,base,agglomerative,quantile,pca,3,2,3,abs_acf_lag_2,-1.0790172922956314,1.0790172922956314,0.11600936411275872,0.20528365954371028
cfg_0191,base,agglomerative,quantile,pca,3,2,4,abs_acf_lag_25,-1.0169088984964545,1.0169088984964545,0.01857840075795829,0.06670818109672769
cfg_0191,base,agglomerative,quantile,pca,3,2,5,abs_acf_lag_50,-0.7659422740341187,0.7659422740341187,0.0109161864875996,0.041131476100070945
cfg_0193,base,agglomerative,quantile,pca,5,0,1,hill_tail_index,-0.6876665546420435,0.6876665546420435,2.2694449909292667,2.6703425530703555
cfg_0193,base,agglomerative,quantile,pca,5,0,2,tail_ratio_upper,0.521537114605957,0.521537114605957,10.900050425838408,8.469904291531908
cfg_0193,base,agglomerative,quantile,pca,5,0,3,abs_acf_lag_2,0.44216789788317684,0.44216789788317684,0.24186715809147064,0.20528365954371028
cfg_0193,base,agglomerative,quantile,pca,5,0,4,robust_kurtosis,0.4393822245359514,0.4393822245359514,1.6627028372691057,1.570934307768045
cfg_0193,base,agglomerative,quantile,pca,5,0,5,lz_complexity,-0.35452858294375195,0.35452858294375195,1.0334612917172383,1.040113722720113
cfg_0193,base,agglomerative,quantile,pca,5,1,1,hill_tail_index,1.0529850896538961,1.0529850896538961,3.2842144253659367,2.6703425530703555
cfg_0193,base,agglomerative,quantile,pca,5,1,2,robust_kurtosis,-0.7754717085245467,0.7754717085245467,1.4089707726338423,1.570934307768045
cfg_0193,base,agglomerative,quantile,pca,5,1,3,tail_ratio_upper,-0.7362089336898421,0.7362089336898421,5.039476726276045,8.469904291531908
cfg_0193,base,agglomerative,quantile,pca,5,1,4,lz_complexity,0.538999133194209,0.538999133194209,1.0502275886160894,1.040113722720113
cfg_0193,base,agglomerative,quantile,pca,5,1,5,abs_acf_lag_2,-0.5175998454826154,0.5175998454826154,0.16245917299417534,0.20528365954371028
cfg_0193,base,agglomerative,quantile,pca,5,2,1,abs_acf_lag_10,-1.1522231247966297,1.1522231247966297,0.03281994195873384,0.09597633635173025
cfg_0193,base,agglomerative,quantile,pca,5,2,2,abs_acf_lag_5,-1.1272281873914713,1.1272281873914713,0.06084992308319738,0.12675023477946817
cfg_0193,base,agglomerative,quantile,pca,5,2,3,abs_acf_lag_2,-1.0790172922956314,1.0790172922956314,0.11600936411275872,0.20528365954371028
cfg_0193,base,agglomerative,quantile,pca,5,2,4,abs_acf_lag_25,-1.0169088984964545,1.0169088984964545,0.01857840075795829,0.06670818109672769
cfg_0193,base,agglomerative,quantile,pca,5,2,5,abs_acf_lag_50,-0.7659422740341187,0.7659422740341187,0.0109161864875996,0.041131476100070945
cfg_0193,base,agglomerative,quantile,pca,5,3,1,spectral_flatness,-2.1651028264355454,2.1651028264355454,0.871286253108423,0.9359839834832223
cfg_0193,base,agglomerative,quantile,pca,5,3,2,robust_kurtosis,1.9651283984788428,1.9651283984788428,1.9813672596236613,1.570934307768045
cfg_0193,base,agglomerative,quantile,pca,5,3,3,lb_ret_stat_50,1.9102157413545435,1.9102157413545435,258.223158882057,105.01915321269621
cfg_0193,base,agglomerative,quantile,pca,5,3,4,abs_acf_lag_25,1.834443964765818,1.834443964765818,0.15353147981945775,0.06670818109672769
cfg_0193,base,agglomerative,quantile,pca,5,3,5,abs_acf_lag_5,1.8270172445146469,1.8270172445146469,0.23356179896382204,0.12675023477946817
cfg_0193,base,agglomerative,quantile,pca,5,4,1,abs_acf_lag_10,1.0184812588868906,1.0184812588868906,0.1518019856412194,0.09597633635173025
cfg_0193,base,agglomerative,quantile,pca,5,4,2,abs_acf_lag_25,0.9960241941160544,0.9960241941160544,0.11384949901201452,0.06670818109672769
cfg_0193,base,agglomerative,quantile,pca,5,4,3,abs_acf_lag_50,0.9330129845062803,0.9330129845062803,0.07793745808429255,0.041131476100070945
cfg_0193,base,agglomerative,quantile,pca,5,4,4,hurst_dfa,-0.7274052052373954,0.7274052052373954,0.46819938821844836,0.5046461815203552
cfg_0193,base,agglomerative,quantile,pca,5,4,5,abs_acf_lag_5,0.6741674749481789,0.6741674749481789,0.16616359157050414,0.12675023477946817
cfg_0194,base,agglomerative,quantile,pca,6,0,1,abs_acf_lag_10,-1.1522231247966297,1.1522231247966297,0.03281994195873384,0.09597633635173025
cfg_0194,base,agglomerative,quantile,pca,6,0,2,abs_acf_lag_5,-1.1272281873914713,1.1272281873914713,0.06084992308319738,0.12675023477946817
cfg_0194,base,agglomerative,quantile,pca,6,0,3,abs_acf_lag_2,-1.0790172922956314,1.0790172922956314,0.11600936411275872,0.20528365954371028
cfg_0194,base,agglomerative,quantile,pca,6,0,4,abs_acf_lag_25,-1.0169088984964545,1.0169088984964545,0.01857840075795829,0.06670818109672769
cfg_0194,base,agglomerative,quantile,pca,6,0,5,abs_acf_lag_50,-0.7659422740341187,0.7659422740341187,0.0109161864875996,0.041131476100070945
cfg_0194,base,agglomerative,quantile,pca,6,1,1,hill_tail_index,1.0529850896538961,1.0529850896538961,3.2842144253659367,2.6703425530703555
cfg_0194,base,agglomerative,quantile,pca,6,1,2,robust_kurtosis,-0.7754717085245467,0.7754717085245467,1.4089707726338423,1.570934307768045
cfg_0194,base,agglomerative,quantile,pca,6,1,3,tail_ratio_upper,-0.7362089336898421,0.7362089336898421,5.039476726276045,8.469904291531908
cfg_0194,base,agglomerative,quantile,pca,6,1,4,lz_complexity,0.538999133194209,0.538999133194209,1.0502275886160894,1.040113722720113
cfg_0194,base,agglomerative,quantile,pca,6,1,5,abs_acf_lag_2,-0.5175998454826154,0.5175998454826154,0.16245917299417534,0.20528365954371028
cfg_0194,base,agglomerative,quantile,pca,6,2,1,tail_ratio_upper,1.252509780467253,1.252509780467253,14.30607915989824,8.469904291531908
cfg_0194,base,agglomerative,quantile,pca,6,2,2,hill_tail_index,-0.9886612241760709,0.9886612241760709,2.0939703682082786,2.6703425530703555
cfg_0194,base,agglomerative,quantile,pca,6,2,3,robust_kurtosis,0.945978812318328,0.945978812318328,1.7685096298860423,1.570934307768045
cfg_0194,base,agglomerative,quantile,pca,6,2,4,abs_acf_lag_2,0.816649931182926,0.816649931182926,0.27285055373590816,0.20528365954371028
cfg_0194,base,agglomerative,quantile,pca,6,2,5,lz_complexity,-0.6717558350900769,0.6717558350900769,1.0275087888481826,1.040113722720113
cfg_0194,base,agglomerative,quantile,pca,6,3,1,spectral_flatness,-2.1651028264355454,2.1651028264355454,0.871286253108423,0.9359839834832223
cfg_0194,base,agglomerative,quantile,pca,6,3,2,robust_kurtosis,1.9651283984788428,1.9651283984788428,1.9813672596236613,1.570934307768045
cfg_0194,base,agglomerative,quantile,pca,6,3,3,lb_ret_stat_50,1.9102157413545435,1.9102157413545435,258.223158882057,105.01915321269621
cfg_0194,base,agglomerative,quantile,pca,6,3,4,abs_acf_lag_25,1.834443964765818,1.834443964765818,0.15353147981945775,0.06670818109672769
cfg_0194,base,agglomerative,quantile,pca,6,3,5,abs_acf_lag_5,1.8270172445146469,1.8270172445146469,0.23356179896382204,0.12675023477946817
cfg_0194,base,agglomerative,quantile,pca,6,4,1,abs_acf_lag_10,1.0184812588868906,1.0184812588868906,0.1518019856412194,0.09597633635173025
cfg_0194,base,agglomerative,quantile,pca,6,4,2,abs_acf_lag_25,0.9960241941160544,0.9960241941160544,0.11384949901201452,0.06670818109672769
cfg_0194,base,agglomerative,quantile,pca,6,4,3,abs_acf_lag_50,0.9330129845062803,0.9330129845062803,0.07793745808429255,0.041131476100070945
cfg_0194,base,agglomerative,quantile,pca,6,4,4,hurst_dfa,-0.7274052052373954,0.7274052052373954,0.46819938821844836,0.5046461815203552
cfg_0194,base,agglomerative,quantile,pca,6,4,5,abs_acf_lag_5,0.6741674749481789,0.6741674749481789,0.16616359157050414,0.12675023477946817
cfg_0194,base,agglomerative,quantile,pca,6,5,1,hill_tail_index,-0.5280085125413855,0.5280085125413855,2.362522834285617,2.6703425530703555
cfg_0194,base,agglomerative,quantile,pca,6,5,2,hurst_rs,0.4526050152654205,0.4526050152654205,0.5673723957457869,0.5520575309458361
cfg_0194,base,agglomerative,quantile,pca,6,5,3,hurst_dfa,0.3521627179445832,0.3521627179445832,0.5222913697828933,0.5046461815203552
cfg_0194,base,agglomerative,quantile,pca,6,5,4,abs_acf_lag_25,-0.3405649364613023,0.3405649364613023,0.05058941607539221,0.06670818109672769
cfg_0194,base,agglomerative,quantile,pca,6,5,5,abs_acf_lag_50,-0.32087275141938915,0.32087275141938915,0.028473520740297326,0.041131476100070945
cfg_0195,base,agglomerative,quantile,pca,7,0,1,hill_tail_index,1.0529850896538961,1.0529850896538961,3.2842144253659367,2.6703425530703555
cfg_0195,base,agglomerative,quantile,pca,7,0,2,robust_kurtosis,-0.7754717085245467,0.7754717085245467,1.4089707726338423,1.570934307768045
cfg_0195,base,agglomerative,quantile,pca,7,0,3,tail_ratio_upper,-0.7362089336898421,0.7362089336898421,5.039476726276045,8.469904291531908
cfg_0195,base,agglomerative,quantile,pca,7,0,4,lz_complexity,0.538999133194209,0.538999133194209,1.0502275886160894,1.040113722720113
cfg_0195,base,agglomerative,quantile,pca,7,0,5,abs_acf_lag_2,-0.5175998454826154,0.5175998454826154,0.16245917299417534,0.20528365954371028
cfg_0195,base,agglomerative,quantile,pca,7,1,1,abs_acf_lag_10,1.0184812588868906,1.0184812588868906,0.1518019856412194,0.09597633635173025
cfg_0195,base,agglomerative,quantile,pca,7,1,2,abs_acf_lag_25,0.9960241941160544,0.9960241941160544,0.11384949901201452,0.06670818109672769
cfg_0195,base,agglomerative,quantile,pca,7,1,3,abs_acf_lag_50,0.9330129845062803,0.9330129845062803,0.07793745808429255,0.041131476100070945
cfg_0195,base,agglomerative,quantile,pca,7,1,4,hurst_dfa,-0.7274052052373954,0.7274052052373954,0.46819938821844836,0.5046461815203552
cfg_0195,base,agglomerative,quantile,pca,7,1,5,abs_acf_lag_5,0.6741674749481789,0.6741674749481789,0.16616359157050414,0.12675023477946817
cfg_0195,base,agglomerative,quantile,pca,7,2,1,tail_ratio_upper,1.252509780467253,1.252509780467253,14.30607915989824,8.469904291531908
cfg_0195,base,agglomerative,quantile,pca,7,2,2,hill_tail_index,-0.9886612241760709,0.9886612241760709,2.0939703682082786,2.6703425530703555
cfg_0195,base,agglomerative,quantile,pca,7,2,3,robust_kurtosis,0.945978812318328,0.945978812318328,1.7685096298860423,1.570934307768045
cfg_0195,base,agglomerative,quantile,pca,7,2,4,abs_acf_lag_2,0.816649931182926,0.816649931182926,0.27285055373590816,0.20528365954371028
cfg_0195,base,agglomerative,quantile,pca,7,2,5,lz_complexity,-0.6717558350900769,0.6717558350900769,1.0275087888481826,1.040113722720113
cfg_0195,base,agglomerative,quantile,pca,7,3,1,spectral_flatness,-2.1651028264355454,2.1651028264355454,0.871286253108423,0.9359839834832223
cfg_0195,base,agglomerative,quantile,pca,7,3,2,robust_kurtosis,1.9651283984788428,1.9651283984788428,1.9813672596236613,1.570934307768045
cfg_0195,base,agglomerative,quantile,pca,7,3,3,lb_ret_stat_50,1.9102157413545435,1.9102157413545435,258.223158882057,105.01915321269621
cfg_0195,base,agglomerative,quantile,pca,7,3,4,abs_acf_lag_25,1.834443964765818,1.834443964765818,0.15353147981945775,0.06670818109672769
cfg_0195,base,agglomerative,quantile,pca,7,3,5,abs_acf_lag_5,1.8270172445146469,1.8270172445146469,0.23356179896382204,0.12675023477946817
cfg_0195,base,agglomerative,quantile,pca,7,4,1,kurtosis,1.643644526061594,1.643644526061594,201.3788743815315,40.242218995358584
cfg_0195,base,agglomerative,quantile,pca,7,4,2,abs_acf_lag_25,-1.1205422951818587,1.1205422951818587,0.013673484864701947,0.06670818109672769
cfg_0195,base,agglomerative,quantile,pca,7,4,3,hurst_dfa,1.0119276112644953,1.0119276112644953,0.55534903079707,0.5046461815203552
cfg_0195,base,agglomerative,quantile,pca,7,4,4,abs_acf_lag_10,-1.006700239681283,1.006700239681283,0.04079643585801548,0.09597633635173025
cfg_0195,base,agglomerative,quantile,pca,7,4,5,hill_tail_index,-0.9451390314631875,0.9451390314631875,2.1193430446018717,2.6703425530703555
cfg_0195,base,agglomerative,quantile,pca,7,5,1,hill_tail_index,-0.5280085125413855,0.5280085125413855,2.362522834285617,2.6703425530703555
cfg_0195,base,agglomerative,quantile,pca,7,5,2,hurst_rs,0.4526050152654205,0.4526050152654205,0.5673723957457869,0.5520575309458361
