config_id,feature_set,scaler,space_type,pca_n_components,algorithm,n_clusters_requested,cluster_label,cluster_size,cluster_share,cluster_size_rank,ranking_score
cfg_0446,with_chaos,quantile,pca,2.0,agglomerative,6,2,40,0.09569377990430622,4,0.25008672542576443
cfg_0446,with_chaos,quantile,pca,2.0,agglomerative,6,3,27,0.0645933014354067,5,0.25008672542576443
cfg_0446,with_chaos,quantile,pca,2.0,agglomerative,6,5,10,0.023923444976076555,6,0.25008672542576443
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,4,101,0.24162679425837322,1,0.30392123186757686
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,2,72,0.1722488038277512,2,0.30392123186757686
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,1,68,0.16267942583732056,3,0.30392123186757686
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,57,0.13636363636363635,4,0.30392123186757686
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,7,43,0.10287081339712918,5,0.30392123186757686
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,6,40,0.09569377990430622,6,0.30392123186757686
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,3,27,0.0645933014354067,7,0.30392123186757686
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,5,10,0.023923444976076555,8,0.30392123186757686
