selection_scope,k_bucket,config_id,feature_set,scaler,space_type,pca_n_components,algorithm,n_clusters_requested,n_clusters_actual,silhouette_score,davies_bouldin_score,calinski_harabasz_score,cluster_size_min,cluster_size_max,cluster_size_ratio_max,n_singleton_clusters,n_small_clusters,n_rows,n_features_input,n_features_used,n_missing_imputed,explained_variance_ratio_sum,avg_assignment_confidence,min_assignment_confidence,entropy_of_assignment,ranking_score,notes
overall,overall,cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,8,0.35756096537080784,0.8221570661444291,357.881022450207,10,101,0.24162679425837322,0,1,418,25,2,0,0.3485873960736579,,,,0.30392123186757686,
best_k,2,cfg_0029,base,identity,pca,3.0,gmm,2,2,0.7107809823291869,1.270597288275746,157.125706475597,43,375,0.8971291866028708,0,0,418,22,3,0,0.9999854917005188,0.9865542725515866,0.5482957306808267,0.04378445136867882,0.19532853142265472,
best_k,3,cfg_0191,base,quantile,pca,2.0,agglomerative,3,3,0.3859566471671503,0.8885660742391833,239.16567057454486,60,199,0.47607655502392343,0,0,418,22,2,0,0.3665043165345859,,,,0.17827201161967515,
best_k,4,cfg_0185,base,quantile,pca,2.0,gmm,4,4,0.4243618480504958,0.829960652725207,278.94919027896304,44,183,0.43779904306220097,0,0,418,22,2,0,0.3665043165345859,0.8756331323578727,0.3661868303635142,0.335822056908893,0.26568358428324357,
best_k,5,cfg_0193,base,quantile,pca,2.0,agglomerative,5,5,0.3758025778830482,0.8392752349171964,266.5144936360952,23,176,0.42105263157894735,0,0,418,22,2,0,0.3665043165345859,,,,0.21739101201160616,
best_k,6,cfg_0194,base,quantile,pca,2.0,agglomerative,6,6,0.3229718392963017,0.9588741179511441,259.7455740520376,23,115,0.2751196172248804,0,0,418,22,2,0,0.3665043165345859,,,,0.2174812586893198,
best_k,7,cfg_0195,base,quantile,pca,2.0,agglomerative,7,7,0.32605190774745546,0.9256640487434352,251.05129306608094,15,115,0.2751196172248804,0,1,418,22,2,0,0.3665043165345859,,,,0.17745815752736194,
best_k,8,cfg_0196,base,quantile,pca,2.0,agglomerative,8,8,0.31897034300926597,0.9613634510177316,252.19878375763415,15,115,0.2751196172248804,0,1,418,22,2,0,0.3665043165345859,,,,0.17149165870429728,
best_k,2,cfg_0295,with_chaos,identity,pca,4.0,gmm,2,2,0.7157801466339454,1.2611185062084922,160.8847764081307,42,376,0.8995215311004785,0,0,418,25,4,0,0.9998206637628688,0.98690808679366,0.5656529553982026,0.043042269793143385,0.202491625793925,
best_k,3,cfg_0443,with_chaos,quantile,pca,2.0,agglomerative,3,3,0.41658728775651677,0.7992260162289838,336.956030708805,77,201,0.48086124401913877,0,0,418,25,2,0,0.3485873960736579,,,,0.2724582798125919,
best_k,4,cfg_0444,with_chaos,quantile,pca,2.0,agglomerative,4,4,0.41586685014696134,0.7824986965785552,313.0221521754963,27,201,0.48086124401913877,0,0,418,25,2,0,0.3485873960736579,,,,0.2608650828039752,
best_k,5,cfg_0445,with_chaos,quantile,pca,2.0,agglomerative,5,5,0.36790344052130663,0.8668927917121458,324.02284106452214,27,144,0.3444976076555024,0,0,418,25,2,0,0.3485873960736579,,,,0.27561088383251575,
best_k,6,cfg_0446,with_chaos,quantile,pca,2.0,agglomerative,6,6,0.38154779374759895,0.7945034314600358,325.7522513777582,10,144,0.3444976076555024,0,1,418,25,2,0,0.3485873960736579,,,,0.25008672542576443,
best_k,7,cfg_0440,with_chaos,quantile,pca,2.0,gmm,7,7,0.37557784218855106,0.8200669195244282,352.5782588615564,11,146,0.3492822966507177,0,1,418,25,2,0,0.3485873960736579,0.8403866439695972,0.4115595702918795,0.4026284648156788,0.2601236886207819,
best_k,8,cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,8,0.35756096537080784,0.8221570661444291,357.881022450207,10,101,0.24162679425837322,0,1,418,25,2,0,0.3485873960736579,,,,0.30392123186757686,
