config_id,feature_set,scaler,space_type,pca_n_components,algorithm,n_clusters_requested,cluster_label,feature_name,cluster_mean,cluster_median,cluster_std,global_mean,global_std,z_score,abs_z_score
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,hurst_rs,0.5492321231271174,0.5499037795142069,0.03464662688115588,0.5520575309458361,0.03383715222636174,-0.08350016572959237,0.08350016572959237
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,hurst_dfa,0.5060402652665451,0.5111350092792172,0.06061734750610308,0.5046461815203552,0.050105213764606096,0.027823127404251236,0.027823127404251236
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,acf_lag_2,-0.04726119791362433,-0.029244691589175347,0.08455499555530877,0.0009434187939731474,0.05745389567357628,-0.8390138935307626,0.8390138935307626
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,acf_lag_5,-0.005557386334886519,-0.0001463212894434145,0.03906124327346022,-0.017428732987851078,0.03458851238639581,0.3432164563872293,0.3432164563872293
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,acf_lag_10,-0.0007864682713562056,-0.0007078491149814985,0.036307013471081034,0.007482081075571495,0.029949213009506852,-0.27608569695313845,0.27608569695313845
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,acf_lag_25,0.001091635064339169,0.004037899286004746,0.033288560357254665,-0.011977912573268126,0.028949331094887436,0.45146285400409225,0.45146285400409225
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,acf_lag_50,0.00013381092045427077,-0.0017589671228282172,0.024263613495130287,0.0016243397151168495,0.024065571577832765,-0.06193614765566307,0.06193614765566307
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,acf_lag_100,0.002419047631975011,0.0015242723969774242,0.020738075072040885,0.005008370132078208,0.023873872659679857,-0.10845841967131942,0.10845841967131942
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,abs_acf_lag_2,0.2835557498058522,0.27250109297358116,0.08205115451121735,0.20528365954371028,0.0827366679555419,0.9460387056462196,0.9460387056462196
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,abs_acf_lag_5,0.17167073187001494,0.17372117530900721,0.06750560827211864,0.12675023477946817,0.05846226383743231,0.7683673902101786,0.7683673902101786
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,abs_acf_lag_10,0.1342912637002488,0.12650703769496072,0.05740527905200847,0.09597633635173025,0.05481264265039263,0.6990162396091678,0.6990162396091678
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,abs_acf_lag_25,0.10207869691897416,0.09638315717215955,0.05297576685521861,0.06670818109672769,0.04732949078322694,0.7473250871057628,0.7473250871057628
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,abs_acf_lag_50,0.056982817330501326,0.04853667306787257,0.050879062913614624,0.041131476100070945,0.03944852064807877,0.4018234643534694,0.4018234643534694
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,vr_q10,0.7181796141131691,0.6694580623555423,0.20956143219781068,0.8527129075967099,0.1899976714449651,-0.7080786435980604,0.7080786435980604
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,lb_ret_stat_50,152.91553703655066,147.97693148563945,74.40296666483826,105.01915321269621,80.20246213693281,0.5971934345616358,0.5971934345616358
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,lz_complexity,1.024876962608884,1.0253008306159053,0.02258262136981673,1.040113722720113,0.01876415985317057,-0.8120139793338164,0.8120139793338164
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,permutation_entropy,0.9987021826482368,0.9992244249439317,0.0014076801217830497,0.9991795642120992,0.0007680363441645789,-0.6215611637254093,0.6215611637254093
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,spectral_flatness,0.9116014973202932,0.9221769011640074,0.037346222229663745,0.9359839834832223,0.029882058988077047,-0.8159573666813847,0.8159573666813847
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,kurtosis,68.44626951874818,22.014751110070062,138.9770517175368,40.242218995358584,98.03619507210554,0.2876901791490943,0.2876901791490943
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,robust_kurtosis,1.86036200318008,1.7809211745371865,0.2548801283832356,1.570934307768045,0.20885808386532007,1.3857624759148386,1.3857624759148386
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,tail_ratio_upper,15.927109766672428,14.989567031679254,5.440631805094195,8.469904291531908,4.659584267828335,1.600401462127877,1.600401462127877
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,hill_tail_index,2.0900569673935068,2.097479558148693,0.3540372341192384,2.6703425530703555,0.5829824926555738,-0.9953739485958828,0.9953739485958828
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,correlation_dimension,2.292780062294106,2.655071221862045,0.9939297459940166,3.4609163452465745,0.9176734237671467,-1.2729324536360063,1.2729324536360063
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,embedding_dimension,6.017543859649122,6.0,1.2025453372827786,6.29665071770335,1.563381404928964,-0.1785276818403179,0.1785276818403179
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,0,selected_delay_tau,4.771929824561403,5.0,1.4518159055331006,3.949760765550239,1.6402791012994113,0.5012372945310652,0.5012372945310652
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,1,hurst_rs,0.5484323333663909,0.5525402890587254,0.027718174458076353,0.5520575309458361,0.03383715222636174,-0.10713660402606019,0.10713660402606019
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,1,hurst_dfa,0.5083042879766145,0.5099437792998921,0.043966449710264074,0.5046461815203552,0.050105213764606096,0.07300849914432175,0.07300849914432175
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,1,acf_lag_2,0.003864255602326009,0.0015961400150705423,0.029095744832406536,0.0009434187939731474,0.05745389567357628,0.05083792446290441,0.05083792446290441
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,1,acf_lag_5,-0.016536985431275956,-0.0198691422656512,0.023310849511452243,-0.017428732987851078,0.03458851238639581,0.025781610570966878,0.025781610570966878
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,1,acf_lag_10,0.011777117726298735,0.009544794651254185,0.02218730852230287,0.007482081075571495,0.029949213009506852,0.1434106682323791,0.1434106682323791
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,1,acf_lag_25,-0.019406456962171796,-0.021291153767933484,0.023186432279401488,-0.011977912573268126,0.028949331094887436,-0.25660504432917897,0.25660504432917897
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,1,acf_lag_50,-0.002055277689704123,-0.00326277299491316,0.022617810399166337,0.0016243397151168495,0.024065571577832765,-0.15289964723756383,0.15289964723756383
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,1,acf_lag_100,0.007147452362933624,0.006414460930106972,0.025072661870598943,0.005008370132078208,0.023873872659679857,0.08959929800028098,0.08959929800028098
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,1,abs_acf_lag_2,0.12169891725906788,0.11023146643019213,0.05107488054468664,0.20528365954371028,0.0827366679555419,-1.0102502838228415,1.0102502838228415
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,1,abs_acf_lag_5,0.06968804793814656,0.06748009458501344,0.03357063614190536,0.12675023477946817,0.05846226383743231,-0.9760516116857203,0.9760516116857203
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,1,abs_acf_lag_10,0.055591458559034156,0.05179112017373598,0.036937058589774856,0.09597633635173025,0.05481264265039263,-0.736780345554217,0.736780345554217
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,1,abs_acf_lag_25,0.035571016376508606,0.03751294297911043,0.02909180311088895,0.06670818109672769,0.04732949078322694,-0.6578808308508943,0.6578808308508943
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,1,abs_acf_lag_50,0.014864900210461506,0.013904890827969849,0.021753379622710255,0.041131476100070945,0.03944852064807877,-0.6658443829601168,0.6658443829601168
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,1,vr_q10,0.9270250545418385,0.9248395325859502,0.10500359185056715,0.8527129075967099,0.1899976714449651,0.3911213562775367,0.3911213562775367
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,1,lb_ret_stat_50,63.46142096802564,63.885309642770935,15.461984186287875,105.01915321269621,80.20246213693281,-0.5181603050255168,0.5181603050255168
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,1,lz_complexity,1.048403158305552,1.0472323991852293,0.014467127287304675,1.040113722720113,0.01876415985317057,0.44176961027319217,0.44176961027319217
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,1,permutation_entropy,0.9993153446973518,0.9994876175564489,0.0006713741028952889,0.9991795642120992,0.0007680363441645789,0.17678914062372791,0.17678914062372791
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,1,spectral_flatness,0.9553975974116784,0.9560143949977251,0.007539163041930443,0.9359839834832223,0.029882058988077047,0.6496745735025196,0.6496745735025196
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,1,kurtosis,32.17414928675397,10.817950149588874,116.99668643278999,40.242218995358584,98.03619507210554,-0.0822968466153807,0.0822968466153807
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,1,robust_kurtosis,1.4030622516645384,1.384580856273523,0.0816902410977831,1.570934307768045,0.20885808386532007,-0.8037613531480892,0.8037613531480892
cfg_0448,with_chaos,quantile,pca,2.0,agglomerative,8,1,tail_ratio_upper,5.326665156754062,5.064545954790361,1.3043245824594636,8.469904291531908,4.659584267828335,-0.6745750165910823,0.6745750165910823
