run_id,horizon,compare_group_id,base_model_name,chaotic_model_name,secondary_model_name,base_candidate_id,chaotic_candidate_id,secondary_candidate_id,base_mae_mean,chaotic_mae_mean,secondary_mae_mean,chaotic_delta_mae_vs_base,secondary_delta_mae_vs_base,base_runtime_sec_mean,chaotic_runtime_sec_mean,secondary_runtime_sec_mean,chaotic_runtime_delta_sec_vs_base,secondary_runtime_delta_sec_vs_base,base_status,chaotic_status,secondary_status,esn_candidate_id,chaotic_esn_candidate_id,transient_chaotic_esn_candidate_id,esn_mae_mean,chaotic_esn_mae_mean,transient_chaotic_esn_mae_mean,chaotic_esn_delta_mae_vs_esn,transient_chaotic_esn_delta_mae_vs_esn,esn_runtime_sec_mean,chaotic_esn_runtime_sec_mean,transient_chaotic_esn_runtime_sec_mean,chaotic_esn_runtime_delta_sec_vs_esn,transient_chaotic_esn_runtime_delta_sec_vs_esn,esn_status,chaotic_esn_status,transient_chaotic_esn_status
architecture_tuning_esn_v1_20260819T074659Z,1,esn_grp_001,esn,chaotic_esn,transient_chaotic_esn,esn_g001,chaotic_esn_g001,transient_chaotic_esn_g001,0.01039268599059335,0.010861512683058046,0.010398053451585444,0.00046882669246469527,5.367460992092635e-06,0.8279049277791476,0.8127403388874275,1.0015910833345616,-0.015164588891720121,0.173686155555414,success,success,success,esn_g001,chaotic_esn_g001,transient_chaotic_esn_g001,0.01039268599059335,0.010861512683058046,0.010398053451585444,0.00046882669246469527,5.367460992092635e-06,0.8279049277791476,0.8127403388874275,1.0015910833345616,-0.015164588891720121,0.173686155555414,success,success,success
architecture_tuning_esn_v1_20260819T074659Z,1,esn_grp_002,esn,chaotic_esn,transient_chaotic_esn,esn_g002,chaotic_esn_g002,transient_chaotic_esn_g002,0.010359369860387805,0.010536684612776038,0.01035982351147461,0.0001773147523882329,4.5365108680521515e-07,0.9347638472229138,0.9054786194432785,1.0939090166672638,-0.02928522777963538,0.15914516944434998,success,success,success,esn_g002,chaotic_esn_g002,transient_chaotic_esn_g002,0.010359369860387805,0.010536684612776038,0.01035982351147461,0.0001773147523882329,4.5365108680521515e-07,0.9347638472229138,0.9054786194432785,1.0939090166672638,-0.02928522777963538,0.15914516944434998,success,success,success
architecture_tuning_esn_v1_20260819T074659Z,1,esn_grp_003,esn,chaotic_esn,transient_chaotic_esn,esn_g003,chaotic_esn_g003,transient_chaotic_esn_g003,0.01033782885424267,0.011818638950577167,0.010374230454760018,0.0014808100963344967,3.6401600517347796e-05,1.0826934444428642,1.078285836110606,1.2824697666708542,-0.004407608332258173,0.19977632222799002,success,success,success,esn_g003,chaotic_esn_g003,transient_chaotic_esn_g003,0.01033782885424267,0.011818638950577167,0.010374230454760018,0.0014808100963344967,3.6401600517347796e-05,1.0826934444428642,1.078285836110606,1.2824697666708542,-0.004407608332258173,0.19977632222799002,success,success,success
architecture_tuning_esn_v1_20260819T074659Z,1,esn_grp_004,esn,chaotic_esn,transient_chaotic_esn,esn_g004,chaotic_esn_g004,transient_chaotic_esn_g004,0.010349245996428178,0.011492761607616605,0.010361782654257681,0.0011435156111884275,1.2536657829503167e-05,1.2418844444433086,1.2586204250005215,1.4627665444447,0.016735980557212926,0.2208821000013914,success,success,success,esn_g004,chaotic_esn_g004,transient_chaotic_esn_g004,0.010349245996428178,0.011492761607616605,0.010361782654257681,0.0011435156111884275,1.2536657829503167e-05,1.2418844444433086,1.2586204250005215,1.4627665444447,0.016735980557212926,0.2208821000013914,success,success,success
architecture_tuning_esn_v1_20260819T074659Z,5,esn_grp_001,esn,chaotic_esn,transient_chaotic_esn,esn_g001,chaotic_esn_g001,transient_chaotic_esn_g001,0.023145101175700917,0.024445518755702975,0.023193306732627664,0.0013004175800020584,4.8205556926746856e-05,0.42242098055673216,0.41413540555408357,0.5081704277779662,-0.008285575002648593,0.08574944722123401,success,success,success,esn_g001,chaotic_esn_g001,transient_chaotic_esn_g001,0.023145101175700917,0.024445518755702975,0.023193306732627664,0.0013004175800020584,4.8205556926746856e-05,0.42242098055673216,0.41413540555408357,0.5081704277779662,-0.008285575002648593,0.08574944722123401,success,success,success
architecture_tuning_esn_v1_20260819T074659Z,5,esn_grp_002,esn,chaotic_esn,transient_chaotic_esn,esn_g002,chaotic_esn_g002,transient_chaotic_esn_g002,0.023144677262454016,0.024096150059118127,0.02317910650167047,0.0009514727966641115,3.442923921645469e-05,0.46737726388932466,0.4597288527790321,0.5553824083326617,-0.0076484111102925745,0.08800514444333707,success,success,success,esn_g002,chaotic_esn_g002,transient_chaotic_esn_g002,0.023144677262454016,0.024096150059118127,0.02317910650167047,0.0009514727966641115,3.442923921645469e-05,0.46737726388932466,0.4597288527790321,0.5553824083326617,-0.0076484111102925745,0.08800514444333707,success,success,success
architecture_tuning_esn_v1_20260819T074659Z,5,esn_grp_003,esn,chaotic_esn,transient_chaotic_esn,esn_g003,chaotic_esn_g003,transient_chaotic_esn_g003,0.02312797301778825,0.024969882214331076,0.02318381659998701,0.0018419091965428264,5.584358219876129e-05,0.5495290972204303,0.5453257388892073,0.6481100055562921,-0.004203358331222984,0.09858090833586175,success,success,success,esn_g003,chaotic_esn_g003,transient_chaotic_esn_g003,0.02312797301778825,0.024969882214331076,0.02318381659998701,0.0018419091965428264,5.584358219876129e-05,0.5495290972204303,0.5453257388892073,0.6481100055562921,-0.004203358331222984,0.09858090833586175,success,success,success
architecture_tuning_esn_v1_20260819T074659Z,5,esn_grp_004,esn,chaotic_esn,transient_chaotic_esn,esn_g004,chaotic_esn_g004,transient_chaotic_esn_g004,0.023120043136115834,0.02498120703078086,0.023175259108984696,0.001861163894665025,5.521597286886268e-05,0.6382272166657559,0.6426622861116711,0.7422813583313352,0.004435069445915207,0.10405414166557936,success,success,success,esn_g004,chaotic_esn_g004,transient_chaotic_esn_g004,0.023120043136115834,0.02498120703078086,0.023175259108984696,0.001861163894665025,5.521597286886268e-05,0.6382272166657559,0.6426622861116711,0.7422813583313352,0.004435069445915207,0.10405414166557936,success,success,success
architecture_tuning_esn_v1_20260819T074659Z,20,esn_grp_001,esn,chaotic_esn,transient_chaotic_esn,esn_g001,chaotic_esn_g001,transient_chaotic_esn_g001,0.047114167047809484,0.04893294690021489,0.046997959880715194,0.0018187798524054027,-0.00011620716709428991,0.20722246666547206,0.2031672416661523,0.25309567777811837,-0.004055224999319762,0.045873211112646306,success,success,success,esn_g001,chaotic_esn_g001,transient_chaotic_esn_g001,0.047114167047809484,0.04893294690021489,0.046997959880715194,0.0018187798524054027,-0.00011620716709428991,0.20722246666547206,0.2031672416661523,0.25309567777811837,-0.004055224999319762,0.045873211112646306,success,success,success
architecture_tuning_esn_v1_20260819T074659Z,20,esn_grp_002,esn,chaotic_esn,transient_chaotic_esn,esn_g002,chaotic_esn_g002,transient_chaotic_esn_g002,0.04715806020447764,0.04857259972828862,0.04693362131005851,0.00141453952381098,-0.00022443889441912945,0.2326540805552213,0.22746897777647568,0.27809465555643936,-0.0051851027787456205,0.045440575001218064,success,success,success,esn_g002,chaotic_esn_g002,transient_chaotic_esn_g002,0.04715806020447764,0.04857259972828862,0.04693362131005851,0.00141453952381098,-0.00022443889441912945,0.2326540805552213,0.22746897777647568,0.27809465555643936,-0.0051851027787456205,0.045440575001218064,success,success,success
