run_id,repeat_id,split_seed,method,model,horizon,target_metric,feature_set,candidate_set,n_test_series,achieved_metric,best_single_metric,oracle_metric,improvement_vs_best_single,gap_to_oracle,routing_hit_oracle_rate,classification_accuracy,top2_hit_rate,status,notes
meta_modeling_experiments_v1_20260331T185531Z,3,19988,scoring,random_forest,1,rmse,full_features,top_4,20,0.02802211759218699,0.028000319467315033,0.027977927509849017,-2.179812487195856e-05,4.41900823379783e-05,0.9,,,success,
meta_modeling_experiments_v1_20260331T185531Z,3,19988,scoring,catboost,1,rmse,full_features,top_4,20,0.028026871867172905,0.028000319467315033,0.027977927509849017,-2.655239985786973e-05,4.894435732388947e-05,0.85,,,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,regression,ridge,1,rmse,full_features,top_6,20,0.02369585044355093,0.023544396588049573,0.023544396588049573,-0.0001514538555013549,0.0001514538555013549,0.9,,,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,regression,random_forest,1,rmse,full_features,top_6,20,0.023544396588049573,0.023544396588049573,0.023544396588049573,0.0,0.0,1.0,,,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,regression,catboost,1,rmse,full_features,top_6,20,0.023621285540989176,0.023544396588049573,0.023544396588049573,-7.688895293960219e-05,7.688895293960219e-05,0.95,,,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,logistic_regression,1,rmse,full_features,top_6,20,0.023544396588049573,0.023544396588049573,0.023544396588049573,0.0,0.0,1.0,1.0,1.0,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_6,20,0.023544396588049573,0.023544396588049573,0.023544396588049573,0.0,0.0,1.0,1.0,1.0,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_6,20,0.028954425630428732,0.023544396588049573,0.023544396588049573,-0.0054100290423791594,0.0054100290423791594,0.0,0.0,0.0,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,ridge,1,rmse,full_features,top_6,20,0.023544396588049573,0.023544396588049573,0.023544396588049573,0.0,0.0,1.0,,,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,1,rmse,full_features,top_6,20,0.023544396588049573,0.023544396588049573,0.023544396588049573,0.0,0.0,1.0,,,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,catboost,1,rmse,full_features,top_6,20,0.023573671904346956,0.023544396588049573,0.023544396588049573,-2.9275316297385205e-05,2.9275316297385205e-05,0.9,,,success,
