run_id,repeat_id,split_seed,horizon,target_metric,meta_model,n_test_series,best_single_model,achieved_mean_metric,oracle_mean_metric,best_single_mean_metric,regret_to_oracle_mean,improvement_vs_best_single_mean,routing_hit_oracle_rate,target_vector_mae,target_vector_rmse,status,notes
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,ridge,20,esn,0.02369585044355093,0.023544396588049573,0.023544396588049573,0.0001514538555013549,-0.0001514538555013549,0.9,0.013118394024044095,0.01708169366965599,success,
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,random_forest,20,esn,0.023544396588049573,0.023544396588049573,0.023544396588049573,0.0,0.0,1.0,0.003208175753195307,0.004674535959368286,success,
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,catboost,20,esn,0.023621285540989176,0.023544396588049573,0.023544396588049573,7.688895293960219e-05,-7.688895293960219e-05,0.95,0.005229991114114137,0.006608271216034369,success,
meta_modeling_v1_20260331T120829Z,2,10015,1,rmse,ridge,20,esn,0.02609398580954405,0.025243042790701463,0.025243042790701463,0.0008509430188425868,-0.0008509430188425868,0.65,0.021316713884476833,0.025544417621060824,success,
meta_modeling_v1_20260331T120829Z,2,10015,1,rmse,random_forest,20,esn,0.025243042790701463,0.025243042790701463,0.025243042790701463,0.0,0.0,1.0,0.00627101538589945,0.009076730163726536,success,
meta_modeling_v1_20260331T120829Z,2,10015,1,rmse,catboost,20,esn,0.025273824648609854,0.025243042790701463,0.025243042790701463,3.078185790838881e-05,-3.078185790838881e-05,0.9,0.006637156898512854,0.008959637218763203,success,
meta_modeling_v1_20260331T120829Z,3,19988,1,rmse,ridge,20,esn,0.029210561608647555,0.027977927509849017,0.028000319467315033,0.001232634098798543,-0.0012102421413325232,0.6,0.026689173423399843,0.04621678157839598,success,
meta_modeling_v1_20260331T120829Z,3,19988,1,rmse,random_forest,20,esn,0.028000319467315033,0.027977927509849017,0.028000319467315033,2.239195746601974e-05,0.0,0.95,0.007522853338945977,0.011512067039520893,success,
meta_modeling_v1_20260331T120829Z,3,19988,1,rmse,catboost,20,esn,0.02804158794037409,0.027977927509849017,0.028000319467315033,6.366043052507837e-05,-4.1268473059058626e-05,0.85,0.008424940450118412,0.013076500767409663,success,
meta_modeling_v1_20260331T120829Z,1,42,1,directional_accuracy,ridge,20,esn,0.6655776381238412,0.6667971503189632,0.6655776381238412,0.001219512195121958,0.0,0.8,0.020968645826737017,0.028126212272539437,success,
meta_modeling_v1_20260331T120829Z,1,42,1,directional_accuracy,random_forest,20,esn,0.6655776381238412,0.6667971503189632,0.6655776381238412,0.001219512195121958,0.0,0.8,0.020666461449220363,0.028838652570125134,success,
meta_modeling_v1_20260331T120829Z,1,42,1,directional_accuracy,catboost,20,esn,0.6655776381238412,0.6667971503189632,0.6655776381238412,0.001219512195121958,0.0,0.8,0.02283601423923443,0.03144439979764977,success,
meta_modeling_v1_20260331T120829Z,2,10015,1,directional_accuracy,ridge,20,esn,0.6690067158951191,0.6696418784967451,0.6690067158951191,0.0006351626016260215,0.0,0.95,0.024766162268318823,0.03288297180280389,success,
meta_modeling_v1_20260331T120829Z,2,10015,1,directional_accuracy,random_forest,20,esn,0.6690067158951191,0.6696418784967451,0.6690067158951191,0.0006351626016260215,0.0,0.95,0.02332379671662087,0.03150503746868769,success,
meta_modeling_v1_20260331T120829Z,2,10015,1,directional_accuracy,catboost,20,esn,0.6690067158951191,0.6696418784967451,0.6690067158951191,0.0006351626016260215,0.0,0.95,0.023612672052674134,0.03215405665312178,success,
meta_modeling_v1_20260331T120829Z,3,19988,1,directional_accuracy,ridge,20,esn,0.6658285688218478,0.6662350728868885,0.6658285688218478,0.00040650406504065263,0.0,0.95,0.02575728056231211,0.03463843125323531,success,
meta_modeling_v1_20260331T120829Z,3,19988,1,directional_accuracy,random_forest,20,esn,0.6658285688218478,0.6662350728868885,0.6658285688218478,0.00040650406504065263,0.0,0.95,0.024710778132036985,0.032935359788635446,success,
meta_modeling_v1_20260331T120829Z,3,19988,1,directional_accuracy,catboost,20,esn,0.6658285688218478,0.6662350728868885,0.6658285688218478,0.00040650406504065263,0.0,0.95,0.026803448933139414,0.03557775103637555,success,
meta_modeling_v1_20260331T120829Z,1,42,5,rmse,ridge,20,naive_zero,0.08982177252858822,0.08900303741571007,0.08943831312349838,0.0008187351128781488,-0.00038345940508984904,0.2,0.024373082207393044,0.03455201132451938,success,
meta_modeling_v1_20260331T120829Z,1,42,5,rmse,random_forest,20,naive_zero,0.08931290048332485,0.08900303741571007,0.08943831312349838,0.00030986306761477365,0.0001254126401735261,0.25,0.010329052534106061,0.01345191039394086,success,
meta_modeling_v1_20260331T120829Z,1,42,5,rmse,catboost,20,naive_zero,0.09019896375573652,0.08900303741571007,0.08943831312349838,0.0011959263400264399,-0.0007606506322381402,0.05,0.0136985300075676,0.01652347632219703,success,
meta_modeling_v1_20260331T120829Z,2,10015,5,rmse,ridge,20,naive_zero,0.09286732882923952,0.09211241282512263,0.09257469595020427,0.0007549160041169109,-0.0002926328790352463,0.2,0.0410552592672549,0.05032726603028799,success,
meta_modeling_v1_20260331T120829Z,2,10015,5,rmse,random_forest,20,naive_zero,0.09253625403764848,0.09211241282512263,0.09257469595020427,0.00042384121252586545,3.844191255579915e-05,0.25,0.026709014828717542,0.048564870816505894,success,
meta_modeling_v1_20260331T120829Z,2,10015,5,rmse,catboost,20,naive_zero,0.09292649910580233,0.09211241282512263,0.09257469595020427,0.0008140862806797277,-0.0003518031555980631,0.0,0.019451674683193282,0.023160376320680118,success,
