model,horizon,target_metric,candidate_set,feature_set,balancing_mode,decision_rule,confidence_threshold,n_repeats,achieved_metric_mean,achieved_metric_std,best_single_metric_mean,oracle_metric_mean,improvement_mean,gap_mean,routing_hit_oracle_rate_mean,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,weighted_f1_mean,top2_hit_rate_mean,fallback_rate_mean
catboost_classifier,1,directional_accuracy,top_3,full_features,balanced,confidence_fallback_0.70,0.7,5,0.6714956446635657,0.001829054155579386,0.6714956446635657,0.6719345819641422,0.0,0.00043893730057649406,0.8866666666666667,0.8866666666666667,0.4666666666666666,0.4381126685225,0.8339501015514912,0.9666666666666666,0.1
catboost_classifier,1,rmse,top_3,full_features,balanced,confidence_fallback_0.50,0.5,5,0.023283226658210303,0.0009749000782973182,0.023283226658210303,0.02328001945029215,0.0,3.2072079181513086e-06,0.99,0.99,0.7,0.6974789915966386,0.9850420168067228,0.99,0.0
catboost_classifier,5,directional_accuracy,top_4,full_plus_basic_features,default,top_1,,5,0.5298407319149623,0.0009325705807907041,0.5295764067636887,0.5333802704068964,0.0002643251512735488,0.003539538491934286,0.52,0.52,0.28769631801889867,0.24218795311112454,0.41271011919898387,0.75,0.0
random_forest_classifier,5,rmse,top_5,full_plus_basic_features,default,confidence_fallback_0.50,0.5,5,0.08747246548829427,0.003735945259410747,0.08761037095333175,0.08705085187157328,0.00013790546503748634,0.0004216136167209903,0.3433333333333333,0.3433333333333333,0.24085982554503133,0.1688129493583717,0.298446438798805,0.4866666666666667,0.65
random_forest_classifier,20,directional_accuracy,top_6,full_plus_basic_features,default,top_1,,5,0.5183236716110706,0.006478450040038538,0.5091254427441196,0.5357573671981479,0.009198228866951073,0.017433695587077313,0.36666666666666664,0.36666666666666664,0.1947831427831428,0.16111771234666641,0.28756938703512275,0.54,0.0
random_forest_classifier,20,rmse,top_3,full_plus_basic_features,balanced,confidence_fallback_0.50,0.5,5,0.17107674667698877,0.008430979644971167,0.17110973734984747,0.1706792466123565,3.299067285869333e-05,0.0003975000646322882,0.4866666666666667,0.4866666666666667,0.42351053669894245,0.36921942990306367,0.40437263845171234,0.7333333333333333,0.5599999999999999
