run_id,repeat_id,split_seed,method,model,horizon,target_metric,feature_set,candidate_set,selected_feature_count,series_id,balancing_mode,decision_rule,confidence_threshold,selected_model,selected_model_top2,oracle_model,best_single_model,achieved_metric,oracle_metric,baseline_metric,improvement_vs_best_single,gap_to_oracle,routing_hit_oracle,top2_hit_oracle,confidence,fallback_applied,predicted_scores_json,actual_metric_vector_json,model_order_json,class_probability_json
meta_modeling_experiments_v1_20260331T214515Z,1,42,classification,logistic_regression,1,rmse,full_features,top_3,25,RU:IRKT,default,top_1,,esn,transient_chaotic_esn,esn,esn,0.03141886004096532,0.03141886004096532,0.03141886004096532,0.0,0.0,1,1,0.9995838754665077,0,"[-0.9995838754665077, -0.0, -0.00041612453349224276]","[0.03141886004096532, 0.03555335734281708, 0.03184818980788794]","[""esn"", ""ridge_lag"", ""transient_chaotic_esn""]","{""esn"": 0.9995838754665077, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.00041612453349224276}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,classification,logistic_regression,1,rmse,full_features,top_3,25,RU:JNOS,default,top_1,,esn,transient_chaotic_esn,esn,esn,0.02114732375253494,0.02114732375253494,0.02114732375253494,0.0,0.0,1,1,0.9999585004774174,0,"[-0.9999585004774174, -0.0, -4.149952258261214e-05]","[0.02114732375253494, 0.024878474455632765, 0.02143335196436756]","[""esn"", ""ridge_lag"", ""transient_chaotic_esn""]","{""esn"": 0.9999585004774174, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 4.149952258261214e-05}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,classification,logistic_regression,1,rmse,full_features,top_3,25,RU:KCHE,default,top_1,,esn,transient_chaotic_esn,esn,esn,0.031223750398908314,0.031223750398908314,0.031223750398908314,0.0,0.0,1,1,0.999831799385487,0,"[-0.999831799385487, -0.0, -0.00016820061451296294]","[0.031223750398908314, 0.03402240384275607, 0.03154183221639637]","[""esn"", ""ridge_lag"", ""transient_chaotic_esn""]","{""esn"": 0.999831799385487, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.00016820061451296294}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,classification,logistic_regression,1,rmse,full_features,top_3,25,RU:KOGK,default,top_1,,esn,transient_chaotic_esn,esn,esn,0.020428115227851033,0.020428115227851033,0.020428115227851033,0.0,0.0,1,1,0.9999729514405428,0,"[-0.9999729514405428, -0.0, -2.7048559457214607e-05]","[0.020428115227851033, 0.023138705735463533, 0.0208505097762878]","[""esn"", ""ridge_lag"", ""transient_chaotic_esn""]","{""esn"": 0.9999729514405428, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 2.7048559457214607e-05}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,classification,logistic_regression,1,rmse,full_features,top_3,25,RU:KRKOP,default,top_1,,esn,transient_chaotic_esn,esn,esn,0.025955114157904892,0.025955114157904892,0.025955114157904892,0.0,0.0,1,1,0.9891142159406493,0,"[-0.9891142159406493, -0.0, -0.010885784059350742]","[0.025955114157904892, 0.02884376395485124, 0.02648051656850603]","[""esn"", ""ridge_lag"", ""transient_chaotic_esn""]","{""esn"": 0.9891142159406493, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.010885784059350742}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,classification,logistic_regression,1,rmse,full_features,top_3,25,RU:KRSBP,default,top_1,,esn,transient_chaotic_esn,esn,esn,0.022315912019385622,0.022315912019385622,0.022315912019385622,0.0,0.0,1,1,0.9999990421276629,0,"[-0.9999990421276629, -0.0, -9.57872337061756e-07]","[0.022315912019385622, 0.02652439287015202, 0.022592876825613502]","[""esn"", ""ridge_lag"", ""transient_chaotic_esn""]","{""esn"": 0.9999990421276629, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 9.57872337061756e-07}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,classification,logistic_regression,1,rmse,full_features,top_3,25,RU:LIFE,default,top_1,,esn,transient_chaotic_esn,esn,esn,0.03150735831368386,0.03150735831368386,0.03150735831368386,0.0,0.0,1,1,0.9999998472728447,0,"[-0.9999998472728447, -0.0, -1.5272715523661375e-07]","[0.03150735831368386, 0.03703322114502334, 0.03214101877778078]","[""esn"", ""ridge_lag"", ""transient_chaotic_esn""]","{""esn"": 0.9999998472728447, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 1.5272715523661375e-07}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,classification,logistic_regression,1,rmse,full_features,top_3,25,RU:LNZL,default,top_1,,esn,transient_chaotic_esn,esn,esn,0.03525135103827277,0.03525135103827277,0.03525135103827277,0.0,0.0,1,1,0.9999999931161829,0,"[-0.9999999931161829, -0.0, -6.8838171065448964e-09]","[0.03525135103827277, 0.042111252578355664, 0.035603129621195266]","[""esn"", ""ridge_lag"", ""transient_chaotic_esn""]","{""esn"": 0.9999999931161829, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 6.8838171065448964e-09}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,classification,logistic_regression,1,rmse,full_features,top_3,25,RU:LSNGP,default,top_1,,esn,transient_chaotic_esn,esn,esn,0.018927502046285377,0.018927502046285377,0.018927502046285377,0.0,0.0,1,1,0.9999997850270146,0,"[-0.9999997850270146, -0.0, -2.1497298544142137e-07]","[0.018927502046285377, 0.023374356904388667, 0.019161719074169248]","[""esn"", ""ridge_lag"", ""transient_chaotic_esn""]","{""esn"": 0.9999997850270146, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 2.1497298544142137e-07}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,classification,logistic_regression,1,rmse,full_features,top_3,25,RU:MISB,default,top_1,,esn,transient_chaotic_esn,esn,esn,0.031950489139417046,0.031950489139417046,0.031950489139417046,0.0,0.0,1,1,0.9999997801614198,0,"[-0.9999997801614198, -0.0, -2.1983858027280202e-07]","[0.031950489139417046, 0.03320620029450991, 0.03222398075141767]","[""esn"", ""ridge_lag"", ""transient_chaotic_esn""]","{""esn"": 0.9999997801614198, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 2.1983858027280202e-07}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,classification,logistic_regression,1,rmse,full_features,top_3,25,RU:MRKK,default,top_1,,esn,transient_chaotic_esn,esn,esn,0.024290486798759205,0.024290486798759205,0.024290486798759205,0.0,0.0,1,1,0.9999856606454745,0,"[-0.9999856606454745, -0.0, -1.4339354525579049e-05]","[0.024290486798759205, 0.028928763186305592, 0.02465943521328348]","[""esn"", ""ridge_lag"", ""transient_chaotic_esn""]","{""esn"": 0.9999856606454745, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 1.4339354525579049e-05}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,classification,logistic_regression,1,rmse,full_features,top_3,25,RU:MRKS,default,top_1,,esn,transient_chaotic_esn,esn,esn,0.0325588608205664,0.0325588608205664,0.0325588608205664,0.0,0.0,1,1,0.9987007490397853,0,"[-0.9987007490397853, -0.0, -0.0012992509602146125]","[0.0325588608205664, 0.03719108358563576, 0.03296977880475354]","[""esn"", ""ridge_lag"", ""transient_chaotic_esn""]","{""esn"": 0.9987007490397853, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0012992509602146125}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,classification,logistic_regression,1,rmse,full_features,top_3,25,RU:MRKV,default,top_1,,esn,transient_chaotic_esn,esn,esn,0.020500210637803863,0.020500210637803863,0.020500210637803863,0.0,0.0,1,1,0.9999252024122492,0,"[-0.9999252024122492, -0.0, -7.479758775073682e-05]","[0.020500210637803863, 0.02479591804300741, 0.020705380351323927]","[""esn"", ""ridge_lag"", ""transient_chaotic_esn""]","{""esn"": 0.9999252024122492, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 7.479758775073682e-05}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,classification,logistic_regression,1,rmse,full_features,top_3,25,RU:MRKY,default,top_1,,esn,transient_chaotic_esn,esn,esn,0.08347698501082071,0.08347698501082071,0.08347698501082071,0.0,0.0,1,1,1.0,0,"[-1.0, -0.0, -1.1655602062131003e-77]","[0.08347698501082071, 0.09534609945672333, 0.08447111247742556]","[""esn"", ""ridge_lag"", ""transient_chaotic_esn""]","{""esn"": 1.0, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 1.1655602062131003e-77}"
