run_id,repeat_id,split_seed,method,model,horizon,target_metric,feature_set,candidate_set,series_id,predicted_top1_model,predicted_top2_model,confidence,class_probability_json
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,logistic_regression,1,rmse,full_features,top_4,RU:MRKU,esn,transient_chaotic_esn,0.9999999889243786,"{""chaotic_esn"": 0.0, ""esn"": 0.9999999889243786, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 1.1075621377903693e-08}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4,RU:AFKS,esn,transient_chaotic_esn,1.0,"{""chaotic_esn"": 0.0, ""esn"": 1.0, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4,RU:AGRO,esn,transient_chaotic_esn,1.0,"{""chaotic_esn"": 0.0, ""esn"": 1.0, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4,RU:BRZL,esn,transient_chaotic_esn,1.0,"{""chaotic_esn"": 0.0, ""esn"": 1.0, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4,RU:CHGZ,esn,transient_chaotic_esn,0.965,"{""chaotic_esn"": 0.0, ""esn"": 0.965, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.035}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4,RU:CHMK,esn,transient_chaotic_esn,1.0,"{""chaotic_esn"": 0.0, ""esn"": 1.0, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4,RU:CNTL,esn,transient_chaotic_esn,1.0,"{""chaotic_esn"": 0.0, ""esn"": 1.0, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4,RU:DIOD,esn,transient_chaotic_esn,1.0,"{""chaotic_esn"": 0.0, ""esn"": 1.0, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4,RU:ELFV,esn,transient_chaotic_esn,1.0,"{""chaotic_esn"": 0.0, ""esn"": 1.0, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4,RU:GMKN,esn,transient_chaotic_esn,1.0,"{""chaotic_esn"": 0.0, ""esn"": 1.0, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4,RU:IRKT,esn,transient_chaotic_esn,0.995,"{""chaotic_esn"": 0.0, ""esn"": 0.995, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.005}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4,RU:JNOS,esn,transient_chaotic_esn,1.0,"{""chaotic_esn"": 0.0, ""esn"": 1.0, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4,RU:JNOSP,esn,transient_chaotic_esn,1.0,"{""chaotic_esn"": 0.0, ""esn"": 1.0, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4,RU:KCHE,esn,transient_chaotic_esn,1.0,"{""chaotic_esn"": 0.0, ""esn"": 1.0, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
