horizon,target_metric,meta_model,n_repeats,achieved_mean_metric_mean,achieved_mean_metric_std,oracle_mean_metric_mean,oracle_mean_metric_std,best_single_mean_metric_mean,best_single_mean_metric_std,regret_to_oracle_mean_mean,regret_to_oracle_mean_std,improvement_vs_best_single_mean_mean,improvement_vs_best_single_mean_std,routing_hit_oracle_rate_mean,routing_hit_oracle_rate_std,target_vector_mae_mean,target_vector_rmse_mean
1,directional_accuracy,catboost,3,0.6668043076136027,0.0019114636362404175,0.6675580339008657,0.0018264142423732566,0.6668043076136027,0.0019114636362404175,0.0007537262872628774,0.00041927147000293444,0.0,0.0,0.9,0.08660254037844381,0.024417378408349327,0.03305873582904904
1,directional_accuracy,random_forest,3,0.6668043076136027,0.0019114636362404175,0.6675580339008657,0.0018264142423732566,0.6668043076136027,0.0019114636362404175,0.0007537262872628774,0.00041927147000293444,0.0,0.0,0.9,0.08660254037844381,0.022900345432626073,0.031093016609149426
1,directional_accuracy,ridge,3,0.6668043076136027,0.0019114636362404175,0.6675580339008657,0.0018264142423732566,0.6668043076136027,0.0019114636362404175,0.0007537262872628774,0.00041927147000293444,0.0,0.0,0.9,0.08660254037844381,0.02383069621912265,0.03188253844285954
1,rmse,catboost,3,0.02564556604332437,0.0022334753354156904,0.025588455629533352,0.002236857534703628,0.025595919615355355,0.002248822740129536,5.711041379102312e-05,2.3741168725794402e-05,-4.964642796901654e-05,2.416833981491698e-05,0.9,0.05000000000000003,0.006764029487581802,0.009548136400735745
1,rmse,random_forest,3,0.025595919615355355,0.002248822740129536,0.025588455629533352,0.002236857534703628,0.025595919615355355,0.002248822740129536,7.46398582200658e-06,1.2928002670689147e-05,0.0,0.0,0.9833333333333334,0.028867513459481298,0.005667348159346911,0.008421111054205238
1,rmse,ridge,3,0.02633346595391418,0.0027651442753084334,0.025588455629533352,0.002236857534703628,0.025595919615355355,0.002248822740129536,0.0007450103243808282,0.000548319233148891,-0.0007375463385588217,0.0005384257273550919,0.7166666666666667,0.16072751268321595,0.02037476044397359,0.029614297623037595
5,directional_accuracy,catboost,3,0.5202825042945513,0.004404822782279491,0.5330147388742944,0.0012902708854321734,0.5217387332507802,0.003592980294449109,0.012732234579743094,0.0050146277945038375,-0.0014562289562289573,0.001441238702075722,0.3666666666666667,0.16072751268321595,0.01868190669672451,0.02482928942519379
5,directional_accuracy,random_forest,3,0.519432335944383,0.005288272944662217,0.5330147388742944,0.0012902708854321734,0.5217387332507802,0.003592980294449109,0.013582402929911445,0.0065577661490132,-0.002306397306397309,0.003447069903946681,0.3,0.1732050807568877,0.01831919545014406,0.024541458609041694
5,directional_accuracy,ridge,3,0.5194744234864707,0.0045911948028322935,0.5330147388742944,0.0012902708854321734,0.5217387332507802,0.003592980294449109,0.013540315387823897,0.005402802069943777,-0.002264309764309762,0.0010661032781618795,0.26666666666666666,0.1258305739211792,0.01882525908511408,0.02491566970424182
5,rmse,catboost,3,0.09578386470894751,0.0074373221476477765,0.09479174502473471,0.007496521027093654,0.0952184188593466,0.007461895944666886,0.0009921196842128,0.00019222032444648904,-0.000565445849600919,0.00020504641479524783,0.09999999999999999,0.13228756555322954,0.019839009417066247,0.026312211014371686
5,rmse,random_forest,3,0.09615826266441761,0.009207165185658504,0.09479174502473471,0.007496521027093654,0.0952184188593466,0.007461895944666886,0.001366517639682897,0.0017324090416891544,-0.0009398438050710157,0.0017702935930066224,0.2333333333333333,0.02886751345948128,0.019654436213510245,0.031920310563417965
5,rmse,ridge,3,0.09649309679060532,0.009046625585694851,0.09479174502473471,0.007496521027093654,0.0952184188593466,0.007461895944666886,0.0017013517658706092,0.0015843272299551426,-0.001274677931258728,0.0016229293546107608,0.21666666666666667,0.02886751345948128,0.03884008672154553,0.05990161562059406
20,directional_accuracy,catboost,3,0.49052679761998474,0.013751205904669234,0.527278932683409,0.01579070198066896,0.4986159943111362,0.007842537227540757,0.03675213506342418,0.007821695881547137,-0.00808919669115146,0.0061794107191923955,0.15,0.1,0.02985489989167105,0.038284374608137335
20,directional_accuracy,random_forest,3,0.49671666316209934,0.014895247103327068,0.527278932683409,0.01579070198066896,0.4986159943111362,0.007842537227540757,0.03056226952130971,0.010885536172906366,-0.001899331149036984,0.007060349856752456,0.18333333333333335,0.10408329997330663,0.029237124626123642,0.037153326408565536
20,directional_accuracy,ridge,3,0.4944743601328789,0.012076167917671807,0.527278932683409,0.01579070198066896,0.4986159943111362,0.007842537227540757,0.032804572550530174,0.007593666313317229,-0.004141634178257452,0.0046923349741875954,0.13333333333333333,0.07637626158259733,0.03000539318628903,0.03873057943265648
20,rmse,catboost,3,0.18719599969357095,0.008887456517392802,0.18354864540882257,0.00868649162794332,0.18491937526412985,0.008884476388215464,0.003647354284748397,0.0009448507036102718,-0.0022766244294410887,0.000588538225381435,0.05000000000000001,0.05,0.06024855774771901,0.21812088469490085
20,rmse,random_forest,3,0.18484949093756117,0.008779480245348041,0.18354864540882257,0.00868649162794332,0.18491937526412985,0.008884476388215464,0.0013008455287386062,0.0003489442267711109,6.988432656870232e-05,0.00010504555652582076,0.31666666666666665,0.11547005383792516,0.06484848079692437,0.2300380064848739
20,rmse,ridge,3,0.1911230533699054,0.012866687872334547,0.18354864540882257,0.00868649162794332,0.18491937526412985,0.008884476388215464,0.007574407961082837,0.004889418761763887,-0.006203678105775529,0.004526395709981847,0.09999999999999999,0.049999999999999996,0.08126394599472282,0.23884495943215445
