feature_name,importance,run_id,repeat_id,split_seed,method,model,horizon,target_metric,feature_set,candidate_set
permutation_entropy,0.37288024520841373,meta_modeling_experiments_v1_20260331T185531Z,1,42,regression,catboost,1,rmse,full_features,top_4
spectral_flatness,6.808516022874423,meta_modeling_experiments_v1_20260331T185531Z,1,42,regression,catboost,1,rmse,full_features,top_4
kurtosis,0.3987965902330608,meta_modeling_experiments_v1_20260331T185531Z,1,42,regression,catboost,1,rmse,full_features,top_4
robust_kurtosis,0.2570090141893566,meta_modeling_experiments_v1_20260331T185531Z,1,42,regression,catboost,1,rmse,full_features,top_4
tail_ratio_upper,0.7380114879448268,meta_modeling_experiments_v1_20260331T185531Z,1,42,regression,catboost,1,rmse,full_features,top_4
hill_tail_index,7.947728685808604,meta_modeling_experiments_v1_20260331T185531Z,1,42,regression,catboost,1,rmse,full_features,top_4
correlation_dimension,0.404272794078803,meta_modeling_experiments_v1_20260331T185531Z,1,42,regression,catboost,1,rmse,full_features,top_4
embedding_dimension,0.10111895870755712,meta_modeling_experiments_v1_20260331T185531Z,1,42,regression,catboost,1,rmse,full_features,top_4
selected_delay_tau,0.32971901585365143,meta_modeling_experiments_v1_20260331T185531Z,1,42,regression,catboost,1,rmse,full_features,top_4
hurst_rs,0.016137626158457773,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
hurst_dfa,0.01938296513472568,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
acf_lag_2,0.017609474832476234,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
acf_lag_5,0.0,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
acf_lag_10,0.008528482581778515,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
acf_lag_25,0.0011464263124604675,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
acf_lag_50,0.0,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
acf_lag_100,0.0007878496082636661,meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,1,rmse,full_features,top_4
