model,horizon,target_metric,candidate_set,feature_set,balancing_mode,decision_rule,confidence_threshold,n_repeats,achieved_metric_mean,achieved_metric_std,best_single_metric_mean,oracle_metric_mean,improvement_mean,gap_mean,routing_hit_oracle_rate_mean,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,weighted_f1_mean,top2_hit_rate_mean,fallback_rate_mean
catboost_classifier,1,directional_accuracy,top_3,full_features,balanced,confidence_fallback_0.50,0.5,5,0.6711924603817229,0.0013164055619935028,0.6714956446635657,0.6719345819641422,-0.0003031842818428184,0.0007421215824193124,0.8800000000000001,0.8800000000000001,0.4714016475022764,0.45341051933972293,0.8363623828373091,0.97,0.0
catboost_classifier,1,directional_accuracy,top_3,full_features,balanced,confidence_fallback_0.60,0.6,5,0.6713499807069262,0.0015463017409511066,0.6714956446635657,0.6719345819641422,-0.00014566395663956642,0.0005846012572160604,0.8833333333333332,0.8833333333333332,0.4654320987654321,0.43749164694200016,0.8322733432841414,0.9666666666666666,0.03333333333333333
catboost_classifier,1,directional_accuracy,top_3,full_features,balanced,confidence_fallback_0.70,0.7,5,0.6714956446635657,0.001829054155579386,0.6714956446635657,0.6719345819641422,0.0,0.00043893730057649406,0.8866666666666667,0.8866666666666667,0.4666666666666666,0.4381126685225,0.8339501015514912,0.9666666666666666,0.1
catboost_classifier,1,directional_accuracy,top_3,full_features,balanced,confidence_fallback_0.80,0.8,5,0.6714956446635657,0.001829054155579386,0.6714956446635657,0.6719345819641422,0.0,0.00043893730057649406,0.8866666666666667,0.8866666666666667,0.4666666666666666,0.4381126685225,0.8339501015514912,0.9666666666666666,0.21666666666666665
catboost_classifier,1,directional_accuracy,top_3,full_features,balanced,top_1,,5,0.6711924603817229,0.0013164055619935028,0.6714956446635657,0.6719345819641422,-0.0003031842818428184,0.0007421215824193124,0.8800000000000001,0.8800000000000001,0.4714016475022764,0.45341051933972293,0.8363623828373091,0.97,0.0
catboost_classifier,1,directional_accuracy,top_3,full_features,default,confidence_fallback_0.50,0.5,5,0.6714787069941891,0.0018536561322808622,0.6714956446635657,0.6719345819641422,-1.6937669376693537e-05,0.0004558749699531876,0.8833333333333334,0.8833333333333334,0.4647798742138365,0.43716450164512966,0.8322750067348034,0.9733333333333333,0.0
catboost_classifier,1,directional_accuracy,top_3,full_features,default,confidence_fallback_0.60,0.6,5,0.6714956446635657,0.001829054155579386,0.6714956446635657,0.6719345819641422,0.0,0.00043893730057649406,0.8866666666666667,0.8866666666666667,0.4666666666666666,0.4381126685225,0.8339501015514912,0.9733333333333333,0.003333333333333333
catboost_classifier,1,directional_accuracy,top_3,full_features,default,confidence_fallback_0.70,0.7,5,0.6714956446635657,0.001829054155579386,0.6714956446635657,0.6719345819641422,0.0,0.00043893730057649406,0.8866666666666667,0.8866666666666667,0.4666666666666666,0.4381126685225,0.8339501015514912,0.9733333333333333,0.006666666666666666
catboost_classifier,1,directional_accuracy,top_3,full_features,default,confidence_fallback_0.80,0.8,5,0.6714956446635657,0.001829054155579386,0.6714956446635657,0.6719345819641422,0.0,0.00043893730057649406,0.8866666666666667,0.8866666666666667,0.4666666666666666,0.4381126685225,0.8339501015514912,0.9733333333333333,0.026666666666666665
catboost_classifier,1,directional_accuracy,top_3,full_features,default,top_1,,5,0.6714787069941891,0.0018536561322808622,0.6714956446635657,0.6719345819641422,-1.6937669376693537e-05,0.0004558749699531876,0.8833333333333334,0.8833333333333334,0.4647798742138365,0.43716450164512966,0.8322750067348034,0.9733333333333333,0.0
