iter	RMSE
0	0.04232745098
1	0.04180262711
2	0.04142446744
3	0.04105877634
4	0.04067067349
5	0.04035882498
6	0.03999086832
7	0.03950158547
8	0.03913710437
9	0.03874653567
10	0.03830567079
11	0.03807823176
12	0.03783182163
13	0.03754863007
14	0.03711977427
15	0.03680651667
16	0.03651599268
17	0.03628031013
18	0.03604343467
19	0.03564970599
20	0.03549360655
21	0.03532706807
22	0.03520316515
23	0.035047616
24	0.03487627765
25	0.03467641027
26	0.03448572518
27	0.03417606541
28	0.03393235863
29	0.03359621316
30	0.03331857463
31	0.03314579076
32	0.03299711793
33	0.03277656992
34	0.03264601103
35	0.03251703915
36	0.03231766274
37	0.03207305685
38	0.03196136748
39	0.03178000681
40	0.03167661782
41	0.03154932944
42	0.03145692959
43	0.03123392453
44	0.03102191642
45	0.03083704996
46	0.03058200372
47	0.03043917769
48	0.03035670812
49	0.03013891263
50	0.03005237202
51	0.02978632585
52	0.02957699902
53	0.02937390399
54	0.02932818487
55	0.02914378961
56	0.02902002903
57	0.02876236576
58	0.02857645373
59	0.02843049551
60	0.02839035498
61	0.0283079655
62	0.02810886236
63	0.02791820862
64	0.02784309518
65	0.02778164707
66	0.02775013861
67	0.02770554159
68	0.02753651417
69	0.02737901033
70	0.02721440734
71	0.02709397979
72	0.02700681661
73	0.02688705552
74	0.02684949457
75	0.0267070842
76	0.02658078072
77	0.02648241088
78	0.02636880081
79	0.0262059461
80	0.02612587102
81	0.02608705552
82	0.02594582916
83	0.0257854287
84	0.02557973093
85	0.02552000936
86	0.02536686379
87	0.02522698759
88	0.02516151963
89	0.02513341695
90	0.02495756735
91	0.02474183882
92	0.02455120635
93	0.02439629951
94	0.02426206177
95	0.02407739701
96	0.02399841674
97	0.02385154489
98	0.02368579071
99	0.02351516801
100	0.02335360578
101	0.02320324433
102	0.02305383808
103	0.02296585622
104	0.02288714779
105	0.02273820291
106	0.02266053903
107	0.02250721324
108	0.0224134585
109	0.02226979191
110	0.02213326786
111	0.02196155484
112	0.02183968415
113	0.02176617408
114	0.02165933166
115	0.02159962812
116	0.02145847596
117	0.02135888814
118	0.0212269265
119	0.02113738312
120	0.02101370805
121	0.020979333
122	0.02093837443
123	0.02091245159
124	0.02082124042
125	0.0206438582
126	0.02053488541
127	0.02046633849
128	0.02038095146
129	0.0203380048
130	0.02020581751
131	0.0200790586
132	0.02002770461
133	0.01997197385
134	0.01982348335
135	0.01971019322
136	0.01959046081
137	0.01947289231
138	0.01938689623
139	0.01931995653
140	0.01919657637
141	0.0191158722
142	0.01907648611
143	0.01900340264
144	0.01894182623
145	0.01890600072
146	0.01883504897
147	0.0187199061
148	0.01866180478
149	0.01853673997
150	0.01844324717
151	0.0183643219
152	0.01831023104
153	0.01828056981
154	0.01825420444
155	0.01816924962
156	0.01802806187
157	0.01795783562
158	0.01782458836
159	0.0177639518
160	0.01773723313
161	0.01765383321
162	0.01747653698
163	0.01737182377
164	0.01726629182
165	0.01716124306
166	0.01704657769
167	0.01695284024
168	0.01684756153
169	0.01678677371
170	0.01667543655
171	0.01656775192
172	0.01652965822
173	0.01643640803
174	0.01633601382
175	0.01629507361
176	0.01619660027
177	0.01613135969
178	0.01607624594
179	0.01604082236
180	0.01601614626
181	0.01592935797
182	0.01588639817
183	0.01579759685
184	0.0157741339
185	0.01568880746
186	0.01559965134
187	0.01551068353
188	0.01541839939
189	0.01534569046
190	0.01530982703
191	0.01522279796
192	0.01514007442
193	0.01504699305
194	0.01498865657
195	0.01495686742
196	0.01487814878
197	0.01479666636
198	0.01472098086
199	0.01468123662
200	0.01462924104
201	0.01456766327
202	0.01446078736
203	0.01443968519
204	0.01435625265
205	0.01431662706
206	0.01422342496
207	0.01416040806
208	0.01413892584
209	0.01410760379
210	0.01402092262
211	0.01397189588
212	0.01395264761
213	0.01391550868
214	0.01383656536
215	0.01381668442
216	0.01374035529
217	0.01365936079
218	0.01357301788
219	0.01355454639
220	0.01348682558
221	0.01345592756
222	0.0134279002
223	0.01338200843
224	0.01332801348
225	0.01323180286
226	0.01320350315
227	0.01312351085
228	0.01307610926
229	0.01300615678
230	0.01295134207
231	0.0128728474
232	0.01284364099
233	0.01280123929
234	0.01271688196
235	0.01264647895
236	0.01260198927
237	0.0125446533
238	0.01251646608
239	0.01246499238
240	0.01242033939
241	0.01236369156
242	0.0123244619
243	0.01229625713
244	0.01224362796
245	0.01219751186
246	0.01212601713
247	0.01209818308
248	0.0120439257
249	0.01200573539
250	0.01199206529
251	0.01197571782
252	0.01195823199
253	0.01194539163
254	0.01189202068
255	0.01183420008
256	0.01178834348
257	0.01175743871
258	0.01171572423
259	0.01169193658
260	0.01167556323
261	0.01160455545
262	0.01155990091
263	0.01151726395
264	0.01146638444
265	0.01141249408
266	0.01135436058
267	0.01128581275
268	0.01123026646
269	0.01117642289
270	0.01113443556
271	0.01111323185
272	0.01105292154
273	0.01101042069
274	0.01098149954
275	0.01094733752
276	0.01089455551
277	0.01084495627
278	0.01078608143
279	0.01074219406
280	0.0107010702
281	0.01067253734
282	0.01062934752
283	0.01061390772
284	0.01057720936
285	0.01052731769
286	0.01049984313
287	0.01048336446
288	0.0104573038
289	0.01041790269
290	0.01039234467
291	0.01035951096
292	0.01030413991
293	0.01026770778
294	0.01023683778
295	0.01019617532
296	0.01016595414
297	0.01011703401
298	0.01010886652
299	0.01008190955
