horizon,metric,metamodel_mean,fixed_mean,oracle_mean,diff_mean,diff_std,diff_se,ci95_low,ci95_high,bootstrap_ci_low,bootstrap_ci_high,clustered_bootstrap_ci_low,clustered_bootstrap_ci_high,p_ttest,p_wilcoxon,p_sign,n_obs,n_instruments,n_seeds,n_seed_configs_positive,n_seed_configs_total,positive_obs,negative_obs,zero_obs
1,directional_accuracy,0.4950353263430229,0.49275287935047346,0.5061108886953104,0.0022824469925494598,0.019755563026637855,0.0005565499382173451,0.0011905794868698014,0.0033743144982291183,0.0012233979551317482,0.003376662013737947,0.0005924692478460153,0.004213445783372561,4.3763645019462024e-05,0.00027377487487528735,0.008426936647079972,1260,280,5,5,5,389,318,553
5,directional_accuracy,0.51036695745996,0.5069779241099027,0.5279545266441396,0.0033890333500572333,0.037852052527472035,0.001066360774793343,0.0012969934460413954,0.005481073254073071,0.0012485694133262527,0.005481978710599038,0.0006194584580421905,0.0061885960541756034,0.0015183455957355398,0.00032047751089199315,0.00022921384825332652,1260,280,5,5,5,374,279,607
20,directional_accuracy,0.5263163918921081,0.5246075982369403,0.5472049235760049,0.0017087936551679966,0.02459533312833152,0.0006928950146624873,0.0003494375589645489,0.0030681497513714443,0.0004294133874451665,0.0030680765217167495,-0.00016182565007186333,0.003749114045744381,0.013789299951300031,0.021157514075958676,0.029951223196102755,1260,280,5,4,5,98,69,1093
