horizon,scenario,model_name,family,rmse,n_predictions,share_squared_error,winner_rank
5,winsorize_top_1pct_by_abs_y_true,chaotic_mlp,chaos_inspired,0.057818445619057905,607368,,5.0
5,winsorize_top_1pct_by_abs_y_true,esn,neural_or_reservoir,0.05920006306430086,607368,,9.0
5,winsorize_top_1pct_by_abs_y_true,lstm_forecast,neural_or_reservoir,0.0564962771056822,607368,,3.0
5,winsorize_top_1pct_by_abs_y_true,naive_mean,baseline,0.056204869511068706,607368,,2.0
5,winsorize_top_1pct_by_abs_y_true,naive_zero,baseline,0.056047470761059294,607368,,1.0
5,winsorize_top_1pct_by_abs_y_true,ridge_lag,linear,0.058631415582039194,607368,,7.0
5,winsorize_top_1pct_by_abs_y_true,transient_chaotic_esn,chaos_inspired,0.06001692502486424,607368,,10.0
5,winsorize_top_1pct_by_abs_y_true,vanilla_mlp,neural_or_reservoir,0.05794878923437601,607368,,6.0
5,trim_top_5pct_by_abs_y_true,chaotic_esn,chaos_inspired,0.06026466752950551,576998,,11.0
5,trim_top_5pct_by_abs_y_true,chaotic_logistic_net,chaos_inspired,0.04229771425810567,576998,,8.0
5,trim_top_5pct_by_abs_y_true,chaotic_lstm_forecast,chaos_inspired,0.039110225210705084,576998,,4.0
5,trim_top_5pct_by_abs_y_true,chaotic_mlp,chaos_inspired,0.04075586113580062,576998,,5.0
5,trim_top_5pct_by_abs_y_true,esn,neural_or_reservoir,0.04234154737528984,576998,,9.0
5,trim_top_5pct_by_abs_y_true,lstm_forecast,neural_or_reservoir,0.03881072624179066,576998,,3.0
5,trim_top_5pct_by_abs_y_true,naive_mean,baseline,0.03847939394798616,576998,,2.0
5,trim_top_5pct_by_abs_y_true,naive_zero,baseline,0.03826522456867782,576998,,1.0
5,trim_top_5pct_by_abs_y_true,ridge_lag,linear,0.041696375673863605,576998,,7.0
5,trim_top_5pct_by_abs_y_true,transient_chaotic_esn,chaos_inspired,0.043460679843035394,576998,,10.0
5,trim_top_5pct_by_abs_y_true,vanilla_mlp,neural_or_reservoir,0.04077495376147848,576998,,6.0
5,winsorize_top_5pct_by_abs_y_true,chaotic_esn,chaos_inspired,0.06761437098705665,607368,,11.0
5,winsorize_top_5pct_by_abs_y_true,chaotic_logistic_net,chaos_inspired,0.04959249696818121,607368,,8.0
5,winsorize_top_5pct_by_abs_y_true,chaotic_lstm_forecast,chaos_inspired,0.047072308894158574,607368,,4.0
5,winsorize_top_5pct_by_abs_y_true,chaotic_mlp,chaos_inspired,0.04826245560601793,607368,,5.0
5,winsorize_top_5pct_by_abs_y_true,esn,neural_or_reservoir,0.04998580701694055,607368,,9.0
5,winsorize_top_5pct_by_abs_y_true,lstm_forecast,neural_or_reservoir,0.04661294843505139,607368,,3.0
5,winsorize_top_5pct_by_abs_y_true,naive_mean,baseline,0.04627366979847425,607368,,2.0
5,winsorize_top_5pct_by_abs_y_true,naive_zero,baseline,0.04608311653541014,607368,,1.0
5,winsorize_top_5pct_by_abs_y_true,ridge_lag,linear,0.04927794494615853,607368,,7.0
5,winsorize_top_5pct_by_abs_y_true,transient_chaotic_esn,chaos_inspired,0.05097062135857345,607368,,10.0
5,winsorize_top_5pct_by_abs_y_true,vanilla_mlp,neural_or_reservoir,0.048384425278816534,607368,,6.0
5,trim_top_1pct_by_sq_err,chaotic_esn,chaos_inspired,0.05877774090254304,597896,,11.0
5,trim_top_1pct_by_sq_err,chaotic_logistic_net,chaos_inspired,0.053823807834117075,601645,,10.0
5,trim_top_1pct_by_sq_err,chaotic_lstm_forecast,chaos_inspired,0.051267856577312546,601747,,3.0
5,trim_top_1pct_by_sq_err,chaotic_mlp,chaos_inspired,0.05241558637508998,601630,,7.0
5,trim_top_1pct_by_sq_err,esn,neural_or_reservoir,0.05257209847136818,601435,,8.0
5,trim_top_1pct_by_sq_err,lstm_forecast,neural_or_reservoir,0.051286688911515374,601793,,4.0
5,trim_top_1pct_by_sq_err,naive_mean,baseline,0.05110078748686712,601821,,2.0
5,trim_top_1pct_by_sq_err,naive_zero,baseline,0.05095422204887823,601836,,1.0
5,trim_top_1pct_by_sq_err,ridge_lag,linear,0.05237940684761975,601499,,6.0
5,trim_top_1pct_by_sq_err,transient_chaotic_esn,chaos_inspired,0.05290838095049626,601376,,9.0
5,trim_top_1pct_by_sq_err,vanilla_mlp,neural_or_reservoir,0.052246211711925186,601559,,5.0
5,winsorize_top_1pct_by_sq_err,chaotic_esn,chaos_inspired,0.066742374123029,607368,,11.0
5,winsorize_top_1pct_by_sq_err,chaotic_logistic_net,chaos_inspired,0.05921395205595196,607368,,10.0
5,winsorize_top_1pct_by_sq_err,chaotic_lstm_forecast,chaos_inspired,0.0568270144981973,607368,,4.0
5,winsorize_top_1pct_by_sq_err,chaotic_mlp,chaos_inspired,0.05796286633802823,607368,,6.0
5,winsorize_top_1pct_by_sq_err,esn,neural_or_reservoir,0.0582818461711004,607368,,8.0
5,winsorize_top_1pct_by_sq_err,lstm_forecast,neural_or_reservoir,0.05680057686594119,607368,,3.0
5,winsorize_top_1pct_by_sq_err,naive_mean,baseline,0.05660788037759405,607368,,2.0
5,winsorize_top_1pct_by_sq_err,naive_zero,baseline,0.056462612536252295,607368,,1.0
5,winsorize_top_1pct_by_sq_err,ridge_lag,linear,0.05805099522237043,607368,,7.0
5,winsorize_top_1pct_by_sq_err,transient_chaotic_esn,chaos_inspired,0.0586360739083473,607368,,9.0
5,winsorize_top_1pct_by_sq_err,vanilla_mlp,neural_or_reservoir,0.0578767030028131,607368,,5.0
5,trim_top_5pct_by_sq_err,chaotic_esn,chaos_inspired,0.04297974057192386,564875,,11.0
5,trim_top_5pct_by_sq_err,chaotic_logistic_net,chaos_inspired,0.04174749185728803,577163,,10.0
5,trim_top_5pct_by_sq_err,chaotic_lstm_forecast,chaos_inspired,0.03928386568945569,579123,,3.0
5,trim_top_5pct_by_sq_err,chaotic_mlp,chaos_inspired,0.040214042375241225,577984,,8.0
5,trim_top_5pct_by_sq_err,esn,neural_or_reservoir,0.04018199621332374,577350,,7.0
5,trim_top_5pct_by_sq_err,lstm_forecast,neural_or_reservoir,0.03931598711500878,579186,,4.0
5,trim_top_5pct_by_sq_err,naive_mean,baseline,0.039143038857520435,579306,,2.0
5,trim_top_5pct_by_sq_err,naive_zero,baseline,0.039032681075911485,579485,,1.0
5,trim_top_5pct_by_sq_err,ridge_lag,linear,0.04004823470770401,577643,,6.0
5,trim_top_5pct_by_sq_err,transient_chaotic_esn,chaos_inspired,0.04037583529180388,576841,,9.0
5,trim_top_5pct_by_sq_err,vanilla_mlp,neural_or_reservoir,0.04003605214812984,578039,,5.0
5,winsorize_top_5pct_by_sq_err,chaotic_esn,chaos_inspired,0.05323096985089993,607368,,11.0
5,winsorize_top_5pct_by_sq_err,chaotic_logistic_net,chaos_inspired,0.0494885271818292,607368,,10.0
5,winsorize_top_5pct_by_sq_err,chaotic_lstm_forecast,chaos_inspired,0.04704187219815823,607368,,3.0
5,winsorize_top_5pct_by_sq_err,chaotic_mlp,chaos_inspired,0.04806572690025396,607368,,7.0
5,winsorize_top_5pct_by_sq_err,esn,neural_or_reservoir,0.048195649184479016,607368,,8.0
5,winsorize_top_5pct_by_sq_err,lstm_forecast,neural_or_reservoir,0.04705158383393045,607368,,4.0
5,winsorize_top_5pct_by_sq_err,naive_mean,baseline,0.046883518582374994,607368,,2.0
5,winsorize_top_5pct_by_sq_err,naive_zero,baseline,0.046750246660747403,607368,,1.0
5,winsorize_top_5pct_by_sq_err,ridge_lag,linear,0.048017717816951695,607368,,6.0
5,winsorize_top_5pct_by_sq_err,transient_chaotic_esn,chaos_inspired,0.04847329238898201,607368,,9.0
5,winsorize_top_5pct_by_sq_err,vanilla_mlp,neural_or_reservoir,0.04791056988601823,607368,,5.0
20,contribution_top_1pct_by_abs_y_true,__all_models__,all,0.9729114170524669,66275,0.42924415946732647,
20,contribution_top_5pct_by_abs_y_true,__all_models__,all,0.5307861585157809,331331,0.6387182244516078,
20,contribution_top_1pct_by_sq_err,__all_models__,all,1.0085860890240015,66266,0.46123766234158037,
20,contribution_top_5pct_by_sq_err,__all_models__,all,0.5471031762075772,331330,0.6785897434266503,
20,original,chaotic_esn,chaos_inspired,0.17052720984021122,602418,,11.0
20,original,chaotic_logistic_net,chaos_inspired,0.1486946553555987,602418,,9.0
20,original,chaotic_lstm_forecast,chaos_inspired,0.14489426575255213,602418,,5.0
20,original,chaotic_mlp,chaos_inspired,0.14741228673668658,602418,,7.0
20,original,esn,neural_or_reservoir,0.14764929131016905,602418,,8.0
20,original,lstm_forecast,neural_or_reservoir,0.14390588284506348,602418,,3.0
20,original,naive_mean,baseline,0.14374326650552965,602418,,2.0
20,original,naive_zero,baseline,0.14282117193543215,602418,,1.0
20,original,ridge_lag,linear,0.14441938563274045,602418,,4.0
20,original,transient_chaotic_esn,chaos_inspired,0.15141048939313723,602418,,10.0
20,original,vanilla_mlp,neural_or_reservoir,0.14606883509025753,602418,,6.0
20,trim_top_1pct_by_abs_y_true,chaotic_esn,chaos_inspired,0.13557712516031104,596393,,11.0
20,trim_top_1pct_by_abs_y_true,chaotic_logistic_net,chaos_inspired,0.11293600317756411,596393,,9.0
20,trim_top_1pct_by_abs_y_true,chaotic_lstm_forecast,chaos_inspired,0.10822434407493196,596393,,4.0
20,trim_top_1pct_by_abs_y_true,chaotic_mlp,chaos_inspired,0.111726803444398,596393,,8.0
20,trim_top_1pct_by_abs_y_true,esn,neural_or_reservoir,0.11107574158846731,596393,,6.0
20,trim_top_1pct_by_abs_y_true,lstm_forecast,neural_or_reservoir,0.10697174667726969,596393,,3.0
20,trim_top_1pct_by_abs_y_true,naive_mean,baseline,0.10653052478215154,596393,,2.0
20,trim_top_1pct_by_abs_y_true,naive_zero,baseline,0.10523670924983879,596393,,1.0
20,trim_top_1pct_by_abs_y_true,ridge_lag,linear,0.11027338426918407,596393,,5.0
20,trim_top_1pct_by_abs_y_true,transient_chaotic_esn,chaos_inspired,0.11705701497532395,596393,,10.0
20,trim_top_1pct_by_abs_y_true,vanilla_mlp,neural_or_reservoir,0.1116570188012088,596393,,7.0
20,winsorize_top_1pct_by_abs_y_true,chaotic_esn,chaos_inspired,0.14571271370213168,602418,,11.0
20,winsorize_top_1pct_by_abs_y_true,chaotic_logistic_net,chaos_inspired,0.12226279887854372,602418,,8.0
20,winsorize_top_1pct_by_abs_y_true,chaotic_lstm_forecast,chaos_inspired,0.11800393937976318,602418,,4.0
20,winsorize_top_1pct_by_abs_y_true,chaotic_mlp,chaos_inspired,0.12129641246019941,602418,,7.0
20,winsorize_top_1pct_by_abs_y_true,esn,neural_or_reservoir,0.12098996046014235,602418,,6.0
20,winsorize_top_1pct_by_abs_y_true,lstm_forecast,neural_or_reservoir,0.11680482954676562,602418,,3.0
