model,horizon,target_metric,candidate_set,feature_set,balancing_mode,decision_rule,confidence_threshold,n_repeats,best_single_mean,best_single_std,achieved_mean,achieved_std,oracle_mean,oracle_std,improvement_mean,improvement_std,gap_mean,gap_std,distance_to_oracle_mean,distance_to_oracle_std,classification_accuracy_mean,classification_accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,fallback_rate_mean,fallback_rate_std,elapsed_seconds_mean,elapsed_seconds_std
logistic_regression,1,directional_accuracy,top_3,full,default,top_1,,5,0.4927528793504733,0.0033115173543349,0.4950353263430228,0.0039617655839684,0.5061108886953104,0.0037155518847498,0.0022824469925494,0.0017235358180535,0.0110755623522875,0.0007974343800935,0.0110755623522875,0.0007974343800935,0.4150793650793651,0.0417704678315579,0.4015523460313049,0.0306279787591934,0.0,0.0,0.5380858399788849,0.0321720470631429
catboost_classifier,1,rmse,top_4,full,default,confidence_fallback_0.50,0.5,5,0.0271272943125638,0.0009554011434088,0.0271257834579094,0.0009559281564485,0.0270582163730744,0.0009421516304181,1.510854654395473e-06,2.7829941035548e-06,6.756708483504442e-05,1.89882298857577e-05,6.756708483504442e-05,1.89882298857577e-05,0.3039682539682539,0.0288347652771189,0.2526422503585929,0.0055897538256769,0.9063492063492063,0.01873923643352,1.1160645400057547,0.0130319331170867
logistic_regression,5,directional_accuracy,top_3,full,balanced,top_1,,5,0.5069779241099026,0.0044697950162973,0.5103669574599599,0.0037972496356068,0.5279545266441396,0.0043083930450795,0.0033890333500572,0.0022066341012473,0.0175875691841796,0.0010285275045003,0.0175875691841796,0.0010285275045003,0.4753968253968254,0.0154711021346174,0.4306988151727074,0.0203104315710921,0.0,0.0,0.5235239199944772,0.0356811454839305
catboost_classifier,5,rmse,top_4,full,balanced,confidence_fallback_0.50,0.5,5,0.057902989617903,0.0018232413556318,0.0579006469963747,0.0018224979533637,0.0576885610914602,0.001814249047297,2.342621528340973e-06,1.573107969145292e-06,0.0002120859049144,1.142143027614668e-05,0.0002120859049144,1.142143027614668e-05,0.3198412698412698,0.0234093352440518,0.2536815036263115,0.0047857421203442,0.9706349206349204,0.0157734975510728,1.0988991199992597,0.0145382772648424
logistic_regression,20,directional_accuracy,top_3,full,default,top_1,,5,0.5246075982369401,0.0067386052139727,0.5263163918921081,0.00666034584989,0.547204923576005,0.0061087668190408,0.0017087936551679,0.0018761499921903,0.0208885316838968,0.0019060340893016,0.0208885316838968,0.0019060340893016,0.4928571428571429,0.0176129690644223,0.3613379651938723,0.0168106607806247,0.0,0.0,0.4670545400003902,0.0318464612325048
random_forest_classifier,20,rmse,top_6,full,default,top_1,,5,0.1112580410818859,0.0031879824237393,0.111224502015837,0.0032117412099108,0.109369537674667,0.0030537401360491,3.353906604880514e-05,6.8330254735241e-05,0.00185496434117,0.000606597692482,0.00185496434117,0.000606597692482,0.3484126984126984,0.0290794777151766,0.1929054109641045,0.0080828772722925,0.0,0.0,0.5053482200135477,0.0114333371349142
