model_name,family,horizon,test_rmse_mean,test_rmse_std,test_mae_mean,test_da_mean,fit_seconds_mean,n_tasks,rmse_cv_across_tasks,final_train_loss,final_val_loss,validation_train_gap,actual_epochs_used,early_stopping_reason
chaotic_esn,chaos_inspired,1,0.034505828865180416,0.039166404124293695,0.02123388040047028,0.48483002859815927,0.5217160194573042,1254,1.1350663181378098,,,,,
chaotic_esn,chaos_inspired,5,0.07062174919381958,0.061289265421084205,0.0462180613557957,0.4993277249914351,0.2681710289472941,1254,0.8678525542163702,,,,,
chaotic_esn,chaos_inspired,20,0.1258964033643924,0.11923638059745136,0.08770411673458268,0.5167533695083334,0.13686410701742038,1254,0.9470991816369497,,,,,
chaotic_logistic_net,chaos_inspired,1,0.03137004219846651,0.03699012277043371,0.02050902877524843,0.480195262549162,0.8133502235248574,1254,1.1791543835488347,0.009504042911151098,0.022380134090781212,0.012876091179630114,2.0,patience_exhausted
chaotic_logistic_net,chaos_inspired,5,0.06234235658330941,0.05348255564910491,0.041170478119408244,0.49509864947831417,0.4207248244815405,1254,0.8578847284612194,0.009504042911151098,0.022380134090781212,0.012876091179630114,2.0,patience_exhausted
chaotic_logistic_net,chaos_inspired,20,0.11961418413563304,0.08993402149106537,0.0865189426776195,0.5039867924363737,0.23783571889917915,1254,0.7518675326087355,0.009504042911151098,0.022380134090781212,0.012876091179630114,2.0,patience_exhausted
chaotic_lstm_forecast,chaos_inspired,1,0.0284937013054756,0.03705022799059452,0.016719032669936715,0.4866548550976318,2.972861365309788,1254,1.3002953738226568,0.0009588930465369707,0.00394896324723959,0.002990070200702619,2.0,max_epochs_reached
chaotic_lstm_forecast,chaos_inspired,5,0.059981181708072755,0.05380896414774541,0.03804498085929095,0.49987154858605276,1.4407338708138484,1254,0.8970974331521607,0.0009588930465369707,0.00394896324723959,0.002990070200702619,2.0,max_epochs_reached
chaotic_lstm_forecast,chaos_inspired,20,0.11501126641360497,0.08975696678313784,0.08138450937337544,0.5143409060003373,0.752434861642286,1254,0.7804189066169631,0.0009588930465369707,0.00394896324723959,0.002990070200702619,2.0,max_epochs_reached
chaotic_mlp,chaos_inspired,1,0.02949150679308173,0.03710396101386274,0.01807046498325625,0.48085635393038867,0.1932975506383591,1254,1.2581236107802665,0.005040374196075376,0.0042648278176784515,-0.0007755463783969243,2.0,max_epochs_reached
