scope,horizon,feature,pearson_corr_mean,spearman_corr_mean,mean_abs_change,median_abs_change,coefficient_of_variation_mean,psi_mean,n_series,stability_score
all,1,hurst_rs,0.739828357941255,0.7249831428322073,0.03144905044665282,0.023142938463292684,0.04666498121764312,0.24693731608087507,418,0.7103030279672814
all,1,hurst_dfa,0.7351036257513192,0.7114273592374115,0.04463324519488921,0.03380379725008126,0.07478017238536976,0.19272466102259522,418,0.6980521175670134
all,1,acf_lag_2,0.5860263338193862,0.6087466622150545,0.03853225260588101,0.026455816542675405,2.280112557095129,0.1467244532872847,418,0.4874048116959338
all,1,acf_lag_5,0.7068693428852585,0.6974548394537389,0.02953156631991275,0.02121013643379137,2.9011787941843323,0.18036937683769705,418,0.5433774309026373
all,1,acf_lag_10,0.7724653581008654,0.7462641824282521,0.024368919071715418,0.017700091947161975,3.0046484219591805,0.1883116799444582,418,0.5866161773330701
all,1,acf_lag_25,0.7694948874920007,0.7583050595985054,0.02453864252671428,0.018194138960188184,2.5277629490626214,0.3620506644762848,418,0.61381437892156
all,1,acf_lag_50,0.664801426855791,0.6539469569700579,0.02128716579287649,0.015430299219931167,2.7319302192603208,0.15837624937347225,418,0.5094316335383682
all,1,acf_lag_100,0.6268128312100955,0.6251478519369018,0.02044396042220297,0.01512495279205485,3.4420169736231587,0.1309169440742363,418,0.44650115605203206
all,1,abs_acf_lag_2,0.5197235147276605,0.5084780401689543,0.06539512839548184,0.044022223222528245,0.31964275507404094,0.3060258244236927,418,0.4771946111940676
all,1,abs_acf_lag_5,0.5867870232653168,0.594487865646093,0.04532536050251255,0.03146278052673251,0.4502652451032484,0.2701706892791262,418,0.5584660689269744
all,1,abs_acf_lag_10,0.6530695110238222,0.6406749855622462,0.04223393248512797,0.030991390645920408,1.0671088833254168,0.2717405993844823,418,0.5737325114267513
all,1,abs_acf_lag_25,0.6028560179101449,0.6011765663692911,0.036193106148896814,0.02763762788399358,1.548247163580504,0.3011129898550095,418,0.5087085586975153
all,1,abs_acf_lag_50,0.5893945268614056,0.560024073100862,0.03566424076065698,0.028159453277162183,4.769505482131019,0.4091072339189991,418,0.301093437298361
all,1,vr_q10,0.8027116646975223,0.8239068061990782,0.10975068051252998,0.07360833131138417,0.11125468805636363,0.12281035293278512,418,0.8122035541496208
all,1,lb_ret_stat_50,0.5771189297839686,0.5740847159661361,25.635214962762603,15.925877664182861,0.22097518715249248,0.3663631693959437,418,0.5447177981387142
all,1,lz_complexity,0.7218574915846396,0.6692579315830706,0.024976733723629577,0.020538238298942524,0.018525903465536786,4.132308992842518,418,0.4617161867676679
all,1,permutation_entropy,0.6377193900311406,0.5388609998917641,0.0012427864624594668,0.0007088421049366023,0.000996068682369793,0.4826859897321969,418,0.5146768969710357
all,1,spectral_flatness,0.5050113002562434,0.5147223464334126,0.12091151472874943,0.13347388262259308,0.11523755955113626,4.464278737800117,418,0.28574653156584995
all,1,kurtosis,0.63297377434482,0.6700337734859444,13.59436236810448,3.5323943329708127,0.49611019119239347,0.5507856914463546,418,0.617688979354007
all,1,robust_kurtosis,0.813632176913659,0.7812124054624591,0.10414247293803647,0.0714750577007559,0.050212286703102404,0.06407828160083658,418,0.7754978770472621
all,1,tail_ratio_upper,0.8059973143321876,0.8582041562054737,1.5817098010581063,0.6595429725136737,0.1339795418823744,0.15335677812846774,418,0.8438373402049316
all,1,hill_tail_index,0.690964351346282,0.7003490446272208,0.5073220846674776,0.35917717221882306,0.13515021252911955,0.35045584120569034,418,0.6760687419404803
all,1,correlation_dimension,0.4671356371541635,0.426842328993915,0.8650075092599012,0.7245216921650095,0.20538850554713498,0.1660618322913415,418,0.4082698121019912
all,1,embedding_dimension,0.05187109374323474,0.05443244303998913,1.9792663476874004,2.0,0.22526352667213168,0.31272806657701774,418,0.027532863377531653
all,1,selected_delay_tau,0.1639388785953736,0.2054706659949521,1.1291866028708133,1.0,0.2560600810647436,0.049753364886220806,418,0.19017999369740388
all,5,hurst_rs,0.7442582421809236,0.724867416249595,0.030731004638833957,0.0237551630813726,0.04585556509034622,0.2227079939383949,418,0.7114392382981579
all,5,hurst_dfa,0.7114078004590866,0.6889085436039609,0.04545503111011688,0.03541273475937734,0.0762031289928656,0.22407753781958942,418,0.6738945102633381
all,5,acf_lag_2,0.5913159822288284,0.604841533585889,0.0376829025302334,0.026749629098393825,41.859996772621734,0.10072429983049087,418,0.09980531859436445
all,5,acf_lag_5,0.7016231046767335,0.6965731704869172,0.029626993143153268,0.021985693841321458,3.0165485316036516,0.17993604240112618,418,0.5367489417866784
all,5,acf_lag_10,0.7711809059831317,0.7461795097842773,0.024037826764565666,0.017500262562581113,7.30789407849737,0.18501833359186307,418,0.3715338891798156
all,5,acf_lag_25,0.7656212052997503,0.758089160787025,0.024661326308550127,0.018607805331706175,6.704825218088042,0.35813633651409543,418,0.4049410830569181
all,5,acf_lag_50,0.6733352191682532,0.6585260163133952,0.02149401764927538,0.015755520501173757,2.578314032764825,0.15792944118739158,418,0.5217138426157844
all,5,acf_lag_100,0.6389265257554881,0.6431976936179528,0.02033626795124879,0.015030177321232931,3.398685899644809,0.11206024330256531,418,0.46766038647058406
all,5,abs_acf_lag_2,0.5268992873559402,0.5110684972936109,0.06520773073813317,0.04341876945607877,0.31935825122210787,0.2835315702654156,418,0.48092400621923476
all,5,abs_acf_lag_5,0.5870752741230264,0.5927507072233296,0.04527841149169039,0.031599494425852616,0.9294971902079338,0.2601691003009436,418,0.5332673926978857
all,5,abs_acf_lag_10,0.6386246691033206,0.6313066092557661,0.04233068367236835,0.029995675673970337,0.8669886931270346,0.3018097421397098,418,0.5728666874924289
all,5,abs_acf_lag_25,0.604503888069444,0.6086558554597438,0.036379984714524735,0.027894915773099153,3.002196539174243,0.3216013824694394,418,0.4424659593775596
all,5,abs_acf_lag_50,0.5819687297376533,0.5435268735828389,0.036008853614905745,0.02854230515511445,5.831522518642422,0.4397144594615659,418,0.2299650246776395
all,5,vr_q10,0.8106877405532026,0.8312216244293394,0.10965388342711943,0.0757201861479937,0.11155252660536286,0.11037818108657645,418,0.8201250890447425
all,5,lb_ret_stat_50,0.5812220023882908,0.5518626379685553,27.053739371306975,16.89282582426677,0.22995433158730597,0.388374070989687,418,0.5209462178397056
all,5,lz_complexity,0.7343163327387504,0.7007516223195943,0.024218896019616614,0.019637286526014153,0.01804101509288407,2.5235671941967524,418,0.5736712118551125
all,5,permutation_entropy,0.6548301711589981,0.5668829121429383,0.001219614673847514,0.0006693074465355386,0.0009810866432937004,0.4468497737902912,418,0.544491369121259
all,5,spectral_flatness,0.5676278471299422,0.5841673876301318,0.12199677064453315,0.13306589226974042,0.1158298020839899,5.4458449208239825,418,0.3060836514847331
all,5,kurtosis,0.6328784594900818,0.6667611155505829,13.842335340532555,3.4912247772031932,0.5012157683968402,0.5514004296934334,418,0.6141303056460692
all,5,robust_kurtosis,0.7990924301901615,0.7790246637007691,0.10781565069000805,0.07307221067481107,0.051679516598615416,0.0807073442595518,418,0.7724053206578607
all,5,tail_ratio_upper,0.7784681229005882,0.8607582468129252,1.6728185549458434,0.6728122650944046,0.13628246556985163,0.17666509148668777,418,0.8451108689600982
all,5,hill_tail_index,0.6796881530231236,0.6895379472420965,0.5124016006420549,0.3567676262250752,0.137513680947834,0.35507994199855547,418,0.664908266094777
all,5,correlation_dimension,0.4792744318056732,0.4303170292214002,0.8180424467003091,0.6536603450805636,0.1970302174921885,0.14844158984647193,418,0.41304343885446715
all,5,embedding_dimension,0.07821749928100336,0.07713908625792258,1.8995215311004785,2.0,0.21734084531248424,0.2775470170061843,418,0.052394693141989156
all,5,selected_delay_tau,0.15347495930772906,0.19385067731711947,1.098883572567783,1.0,0.25326847110597844,0.06042213807434597,418,0.17816614685810325
all,20,hurst_rs,0.7413389651227588,0.7222325963554561,0.03101018759416619,0.023613592316706677,0.04637951097342327,0.20275899400880207,418,0.7097756711063449
