horizon,metric,comparison,diff_mean,diff_std,diff_se,ci95_low,ci95_high,bootstrap_ci_low,bootstrap_ci_high,clustered_bootstrap_ci_low,clustered_bootstrap_ci_high,p_ttest,p_wilcoxon,p_sign,n_obs,n_instruments,n_seeds
1,directional_accuracy,metamodel_minus_best_fixed,0.0022824469925494598,0.019755563026637855,0.0005565499382173451,0.0011905794868698014,0.0033743144982291183,0.00117889206343277,0.0033948736090478166,0.0006113646718235494,0.004074238070486667,4.3763645019462024e-05,0.00027377487487528735,0.008426936647079972,1260,280,5
1,directional_accuracy,metamodel_minus_oracle,-0.011075562352287566,0.014795100722557668,0.00041680474416021875,-0.011893270746649011,-0.010257853957926121,-0.01187949826964108,-0.010311191506472903,-0.012083479587598003,-0.010019155516967833,7.145495436027555e-124,6.581770479000893e-119,5.801671039719116e-216,1260,280,5
5,directional_accuracy,metamodel_minus_best_fixed,0.0033890333500572333,0.037852052527472035,0.001066360774793343,0.0012969934460413954,0.005481073254073071,0.0011980858816242879,0.005476486166179126,0.0005715664532942645,0.006313332669000159,0.0015183455957355398,0.00032047751089199315,0.00022921384825332652,1260,280,5
5,directional_accuracy,metamodel_minus_oracle,-0.01758756918417964,0.02689492406524199,0.0007576786501446546,-0.01907402105674656,-0.016101117311612723,-0.01906188274036344,-0.016200171900598536,-0.019279204059169924,-0.01597625069744045,1.6464963159300132e-99,8.151855585952679e-107,1.0959046745042015e-193,1260,280,5
20,directional_accuracy,metamodel_minus_best_fixed,0.0017087936551679966,0.02459533312833152,0.0006928950146624873,0.0003494375589645489,0.0030681497513714443,0.00041103509210384205,0.0030778085038433104,-0.00013378798359981448,0.003781410976661273,0.013789299951300031,0.021157514075958676,0.029951223196102755,1260,280,5
20,directional_accuracy,metamodel_minus_oracle,-0.020888531683896854,0.035641180020609335,0.0010040764979320992,-0.02285837917830184,-0.018918684189491868,-0.022757575986311257,-0.01901192026537466,-0.02337169529075161,-0.018377213477581773,7.382034621825915e-83,1.435374449677977e-102,7.354491775826673e-186,1260,280,5
1,rmse,metamodel_minus_best_fixed,1.510854654395473e-06,4.2310197261887705e-05,1.1919547744762407e-06,-8.275818400167949e-07,3.849291148807741e-06,-7.2767457538535e-11,4.084097418682735e-06,-1.4807764685247852e-07,5.520196061062152e-06,0.20519536531075902,0.06592929229124202,0.23704711476271959,1260,280,5
1,rmse,metamodel_minus_oracle,-6.756708483504442e-05,0.0002434043127132566,6.857139683629305e-06,-8.101976443903974e-05,-5.411440523104911e-05,-8.242301366936401e-05,-5.5184886191654204e-05,-9.318303653712694e-05,-4.819729253122502e-05,4.075395130595111e-22,3.819533724377061e-145,1.9848322066592191e-264,1260,280,5
5,rmse,metamodel_minus_best_fixed,2.3426215283409735e-06,3.1921335153170124e-05,8.992817407105564e-07,5.78365630158762e-07,4.106877426523185e-06,7.269902411700655e-07,4.29650429123423e-06,3.666964821349685e-07,4.633517753777714e-06,0.00929591013927354,0.008006993854784409,0.11531829833984375,1260,280,5
5,rmse,metamodel_minus_oracle,-0.00021208590491448773,0.0003705500967348852,1.0439066361518387e-05,-0.00023256578743192016,-0.0001916060223970553,-0.0002339545607926092,-0.00019226068872623634,-0.00023574093529912506,-0.00018997274145274832,1.3562000261620175e-79,6.985682017424089e-142,2.0812474159298974e-258,1260,280,5
20,rmse,metamodel_minus_best_fixed,3.3539066048805136e-05,0.0011541821742914744,3.2515399177808324e-05,-3.0251270376652286e-05,9.732940247426255e-05,-3.166448716221492e-05,9.596755138335328e-05,-5.9119042507111086e-05,0.00010344098984054155,0.30251270295873334,0.0025446707232166924,9.912782420372921e-05,1260,280,5
20,rmse,metamodel_minus_oracle,-0.0018549643411700106,0.009321171937633528,0.00026259427073823424,-0.0023701349156472914,-0.0013397937666927298,-0.00243142994994809,-0.0014986425784346534,-0.0026558252266492624,-0.0014733459901831174,2.670079354239637e-12,5.205840439040781e-136,1.430222333808547e-247,1260,280,5
