clustering_config,horizon,cluster_label,model_name,n_series,mae_mean,mae_median,rmse_mean,rmse_median,mase_mean,mase_median,smape_mean,directional_accuracy_mean,huber_mean,medae_mean,bias_mean,r2_mean,r2_oos_mean,mae_vs_naive_zero_diff,mae_vs_naive_zero_ratio,rmse_vs_naive_zero_diff,rmse_vs_naive_zero_ratio,mase_vs_naive_zero_diff,mase_vs_naive_zero_ratio
cfg_0185,1,0,chaotic_esn,6,0.0605091432112991,0.0431740170322335,0.14093727209805243,0.06161943454246364,3.6482673461184834,1.7845255205362585,156.66480643797598,0.4599326583145263,0.0183377049622012,0.034131809669899205,0.0012532108701783444,-10.083032470630508,-9.987001611472985,0.02614603626735222,1.7608752116041677,0.0259431825606026,1.2256044868475937,0.5482150970897202,1.1768405991419901
cfg_0185,1,0,chaotic_logistic_net,6,0.041747227606657104,0.037905515648346655,0.11885865909876943,0.05772186918121096,3.543582274690636,1.3342125779215634,175.167432302656,0.44424179429389477,0.015346810830438507,0.018409771938136334,-0.01092859696700719,-0.26572225913994546,-0.26002725382142944,0.007384120662710228,1.214885128831779,0.0038645695613196,1.0336066799334156,0.4435300256618726,1.1430717904192838
cfg_0185,1,0,chaotic_mlp,6,0.07293565474558993,0.05365370943888155,0.15384092207177694,0.06998958905648481,6.726218860163631,3.130486872422265,157.674472849057,0.454178214916751,0.028260122305050237,0.030887048619692752,-0.020478875429373964,-3.3882115610621466,-3.3757961694948,0.03857254780164305,2.1224988434416776,0.03884683253432711,1.3378159059355477,3.626166611134868,2.1697114499508627
cfg_0185,1,0,esn,6,0.02627674157604536,0.01573212066687043,0.08889644017204108,0.03548031665214864,2.1385873760015612,0.8271002263396423,111.19940276912263,0.6525613322550886,0.008863225247082622,0.006816366531950813,-5.145143738101204e-05,0.12809550957401136,0.1329138917569192,-0.008086365367901516,0.7646788638439475,-0.026097649365408745,0.7730522545081798,-0.961464873027202,0.6898552683012276
cfg_0185,1,0,naive_mean,6,0.0346103904638367,0.023667117305107867,0.11503055105315789,0.0471132961457129,3.1058802960446283,1.318653794595285,174.80926987913276,0.4466710125011863,0.015044611160627948,0.010519946826249486,-0.0004974900996862376,-0.00422751657216437,-1.4532315775071421e-06,0.00024728351988982655,1.0071961921339998,3.646151570806111e-05,1.000317072954399,0.005828047015865145,1.0018799834801788
cfg_0185,1,0,naive_zero,6,0.034363106943946876,0.023598343971247614,0.11499408953744983,0.04705079723592648,3.100052249028763,1.3136885540097694,200.0,0.09310008043274058,0.015043358738122218,0.010122228560624748,-0.0014813262743525082,-0.0017109198619441107,0.0024779292365496833,0.0,1.0,0.0,1.0,0.0,1.0
cfg_0185,1,0,ridge_lag,6,0.034269372202190236,0.021120789702032114,0.10769401873085294,0.0416777873984509,3.097538534428306,1.2304267458578497,144.00042674360728,0.5698500194241157,0.014513798517447524,0.009815955056734743,1.2485286488156652e-05,0.10476949925279265,0.10855657594443589,-9.373474175664032e-05,0.9972722273946433,-0.007300070806596892,0.9365178607356207,-0.0025137146004570177,0.9991891379891276
cfg_0185,1,0,transient_chaotic_esn,6,0.06116613911468241,0.04530937064276256,0.14127559616979748,0.06436171889142488,3.68167043030089,1.8444314648118625,157.16864720859715,0.4599905595970468,0.0182166644491707,0.03427059946363873,-9.551599331996324e-05,-9.675477971810812,-9.57997211064197,0.026803032170735534,1.7799944345677665,0.026281506632347656,1.2285465865077232,0.5816181812721268,1.1876156059803011
cfg_0185,1,0,vanilla_mlp,6,0.040216269187723565,0.0246713821650368,0.11189712514689502,0.04443988296760319,3.6660632796412926,1.2657183787036366,144.89868328795117,0.5277312300279903,0.015981894959077994,0.011733840686629056,0.006123275318238076,0.006025450633511865,0.010030053832065644,0.005853162243776688,1.1703327424183259,-0.0030969643905548044,0.9730684907110272,0.5660110306125294,1.1825811261051677
cfg_0185,1,1,chaotic_esn,2,0.02269271568926577,0.02269271568926577,0.04535249608491933,0.04535249608491933,1.6946882690914062,1.6946882690914062,150.3874138024742,0.48289295392953924,0.0011108072505451442,0.01545818618819561,0.0001984648202652101,-0.272209450759491,-0.27032904391770907,0.004144461811873668,1.2234421546777092,0.0029977415346914005,1.070776978087228,0.299321730271088,1.214511185372227
cfg_0185,1,1,chaotic_logistic_net,2,0.018686598985357978,0.018686598985357978,0.042386477356140574,0.042386477356140574,1.4061352752179008,1.4061352752179008,179.29366899841355,0.4742547425474255,0.0010185232484324872,0.01116953852017081,0.00012815114027848264,-0.0049895155417097135,-0.003558349024390247,0.00013834510796587388,1.0074586593908172,3.1722805912647034e-05,1.0007489786270636,0.010768736397582579,1.0077174965129139
cfg_0185,1,1,chaotic_mlp,2,0.028928468838804518,0.028928468838804518,0.05220298635374384,0.05220298635374384,2.160706658407573,2.160706658407573,150.66380976915747,0.47933604336043356,0.0014535310618772285,0.02159739114713114,-0.009391322098201175,-0.9955247999967792,-0.9926526748948498,0.010380214961412414,1.5596329999593406,0.009848231803515912,1.2325177399348881,0.7653401195872549,1.5484867941826201
cfg_0185,1,1,esn,2,0.011432193999234633,0.011432193999234633,0.03145265684263074,0.03145265684263074,0.8616743636015831,0.8616743636015831,99.86594072246285,0.7027439024390243,0.000566995826248367,0.004440348487259252,0.0004441983010412758,0.4491584685513595,0.44992640687533436,-0.007116059878157471,0.6163487989114157,-0.010902097707597189,0.7426003804444542,-0.5336921752187351,0.6175254598910381
cfg_0185,1,1,naive_mean,2,0.018659679656739248,0.018659679656739248,0.042347987612430096,0.042347987612430096,1.4031300891839429,1.4031300891839429,168.50721415456184,0.483739837398374,0.0010174042819826807,0.011063232800040573,0.0008650140398698339,-0.0018796464067137122,-0.0004493264347887327,0.00011142577934714418,1.006007346032877,-6.766937797830774e-06,0.9998402319203666,0.007763550363624638,1.00556380717728
cfg_0185,1,1,naive_zero,2,0.018548253877392104,0.018548253877392104,0.04235475455022793,0.04235475455022793,1.3953665388203182,1.3953665388203182,200.0,0.03319783197831978,0.0010175391786079215,0.010815774418438395,-0.0008231817213851242,-0.0027334372014785986,-0.0013045979625016155,0.0,1.0,0.0,1.0,0.0,1.0
cfg_0185,1,1,ridge_lag,2,0.016497621141214426,0.016497621141214426,0.03721650997037132,0.03721650997037132,1.244247395870537,1.244247395870537,136.77365150018704,0.6404132791327913,0.0008010100955943505,0.009690944132434981,0.0005722427993743492,0.20712390163300062,0.20822236178257042,-0.002050632736177678,0.8894433540896736,-0.005138244579856607,0.8786855304812773,-0.15111914294978135,0.8916993214718036
cfg_0185,1,1,transient_chaotic_esn,2,0.02231417715689868,0.02231417715689868,0.0447240440083667,0.0447240440083667,1.663370731837376,1.663370731837376,148.08940694838662,0.5037262872628726,0.0010912084634941922,0.015356567680168503,0.0009155566126925914,-0.22307473005104028,-0.22119553738886932,0.003765923279506575,1.203033843746162,0.0023692894581387736,1.0559391615722638,0.2680041930170578,1.1920672350675945
cfg_0185,1,1,vanilla_mlp,2,0.017313009176739905,0.017313009176739905,0.03884645065124309,0.03884645065124309,1.3055486675318106,1.3055486675318106,138.42084545583555,0.6061991869918699,0.0008818137343959339,0.010211933354064822,0.0010955820350539252,0.15514091054920698,0.15635368403634292,-0.0012352447006521994,0.933403720435496,-0.0035083038989848353,0.9171685933199215,-0.0898178712885076,0.9356313421673117
cfg_0185,1,2,chaotic_esn,37,0.019353596586699977,0.018749199503794976,0.031017092733130604,0.02889047458159592,1.6705146797998023,1.678847368288866,151.82056424405738,0.47840376077682717,0.0005367316310301601,0.013260894176284614,-0.00019187410116174497,-0.22934569164962637,-0.22533552120872463,0.0035735585408760914,1.2264607050058296,0.0025828757888395476,1.0908368883131185,0.2700280022179278,1.1928101184683648
cfg_0185,1,2,chaotic_logistic_net,37,0.01674239300969649,0.015385135353709908,0.029285076586215375,0.026665727036707627,1.5243744500270218,1.3997553218431673,177.0845684217301,0.4780880109501162,0.0004878277427677399,0.01027988557302742,-0.0019202818021812843,-0.22666259194387153,-0.2228751218590427,0.0009623549638726053,1.0609855921182199,0.0008508596419243182,1.0299237937021912,0.12388777244514726,1.0884605147826583
cfg_0185,1,2,chaotic_mlp,37,0.02718382497430306,0.0253088469732089,0.037662040318250566,0.03505815548042556,2.5001590322740577,2.4415050448880193,156.25162244846504,0.4782363895237446,0.0007922838365779019,0.02182243563800964,-0.006707859372638195,-1.4290523011206775,-1.4204769921078302,0.011403786928479175,1.7226717004967635,0.009227823373959509,1.3245323545233851,1.0996723546921832,1.7852072942178308
cfg_0185,1,2,esn,37,0.009982889355794089,0.00960242743361507,0.021058685808370878,0.019398978499891504,0.8805821655448721,0.8944601579459818,105.35734363407317,0.6882157020931204,0.00025304082682766233,0.004241305788236944,-0.00016628607857138892,0.45346190940812264,0.4550436692135353,-0.005797148690029797,0.6326277114671478,-0.007375531135920179,0.740610717349084,-0.5199045120370024,0.6287686842300518
cfg_0185,1,2,naive_mean,37,0.01584515897598348,0.015240906904469808,0.028449304596497617,0.02579115215276175,1.4052685819041635,1.3947979681495448,183.4495119696738,0.46805980846394546,0.0004550695707842345,0.009331942569157837,-0.000172931493892017,-0.003186415752837658,-0.00026508371831979985,6.512093015959355e-05,1.0041267917080103,1.5087652206560026e-05,1.000530616061491,0.004781904322288977,1.0034144589868899
cfg_0185,1,2,naive_zero,37,0.015780038045823886,0.015152288740931837,0.028434216944291057,0.025775195538968242,1.4004866775818745,1.3939840501032104,200.0,0.04678041515529741,0.00045473542041416914,0.009226727795489038,-0.0004935411804773386,-0.0016774929173264317,0.0012123373589136783,0.0,1.0,0.0,1.0,0.0,1.0
cfg_0185,1,2,ridge_lag,37,0.014372057377941918,0.013736203917729957,0.025831234588235052,0.024074084463669976,1.2882954299978748,1.2887090362399543,147.48985738346144,0.6103379200367821,0.0003724375138829684,0.008424640184544111,-0.00022004960099656154,0.1613562884123816,0.16382308319124722,-0.0014079806678819681,0.9107745707714194,-0.0026029823560560043,0.9084559859286498,-0.11219124758399968,0.9198912425374066
cfg_0185,1,2,transient_chaotic_esn,37,0.0193435749480091,0.018479818893376947,0.030954219976423725,0.029149657398509193,1.6723219097750204,1.6966957427260194,151.59371850274073,0.48195429422552905,0.0005328257500959384,0.01326666630639599,-0.00020533475597878882,-0.23063946644943134,-0.22654294639198447,0.0035635369021852145,1.2258256217023689,0.002520003032132668,1.0886257229122895,0.27183523219314587,1.1941005484339953
cfg_0185,1,2,vanilla_mlp,37,0.01492196864838134,0.014289086528195027,0.026251872995283164,0.023964566304721175,1.3230414767398266,1.330910968383659,140.3345780700919,0.583368556207208,0.0003871400656109284,0.008920578098188253,-0.00012427145423622984,0.14036229827154048,0.14287684819805307,-0.0008580693974425454,0.9456231097193312,-0.002182343949007893,0.9232493740452361,-0.07744520084204787,0.9447012227379648
