clustering_config,horizon,metric_name,global_best_model,cluster_best_strategy_score,global_best_strategy_score,regret_improvement,best_model_diversity_count,model_rank_variance,notes
cfg_0185,1,directional_accuracy,esn,0.6697793708516615,0.6697793708516615,0.0,1,0.29261363636363635,higher_regret_improvement_is_better
cfg_0185,1,mae,esn,0.013404195745452416,0.013404195745452416,0.0,1,0.6818181818181818,higher_regret_improvement_is_better
cfg_0185,1,mase,esn,1.1584374628014285,1.1584374628014285,0.0,1,0.2727272727272727,higher_regret_improvement_is_better
cfg_0185,1,rmse,esn,0.032258182667010415,0.032258182667010415,0.0,1,0.17045454545454547,higher_regret_improvement_is_better
cfg_0185,5,directional_accuracy,esn,0.5251413443695205,0.5251110413392176,3.030303030293613e-05,2,1.9375,higher_regret_improvement_is_better
cfg_0185,5,mae,naive_zero,0.05639784775297605,0.05639784775297605,0.0,1,0.8636363636363636,higher_regret_improvement_is_better
cfg_0185,5,mase,naive_zero,2.440738153456436,2.440738153456436,0.0,1,0.75,higher_regret_improvement_is_better
cfg_0185,5,rmse,naive_zero,0.11120318840724756,0.1112674334860787,6.42450788311405e-05,4,2.522727272727273,higher_regret_improvement_is_better
cfg_0185,20,directional_accuracy,transient_chaotic_esn,0.5028912378037287,0.5014521105112055,0.0014391272925231569,2,5.025568181818182,higher_regret_improvement_is_better
cfg_0185,20,mae,naive_zero,0.12236003314864999,0.12236003314864999,0.0,1,1.0909090909090908,higher_regret_improvement_is_better
cfg_0185,20,mase,naive_zero,5.220584220574931,5.220584220574931,0.0,1,0.9431818181818182,higher_regret_improvement_is_better
cfg_0185,20,rmse,naive_zero,0.20830897228872922,0.20835468152851241,4.5709239783198186e-05,2,3.0,higher_regret_improvement_is_better
cfg_0443,1,directional_accuracy,esn,0.6697793708516613,0.6697793708516613,0.0,1,0.10101010101010101,higher_regret_improvement_is_better
cfg_0443,1,mae,esn,0.013404195745452414,0.013404195745452414,0.0,1,0.16161616161616157,higher_regret_improvement_is_better
cfg_0443,1,mase,esn,1.1584374628014285,1.1584374628014285,0.0,1,0.16161616161616163,higher_regret_improvement_is_better
cfg_0443,1,rmse,esn,0.032258182667010415,0.032258182667010415,0.0,1,0.16161616161616163,higher_regret_improvement_is_better
cfg_0443,5,directional_accuracy,esn,0.5251110413392175,0.5251110413392175,0.0,1,1.3333333333333333,higher_regret_improvement_is_better
cfg_0443,5,mae,naive_zero,0.05639784775297605,0.05639784775297605,0.0,1,0.4444444444444445,higher_regret_improvement_is_better
cfg_0443,5,mase,naive_zero,2.4407354443546767,2.440738153456436,2.7091017593683375e-06,2,0.5656565656565657,higher_regret_improvement_is_better
cfg_0443,5,rmse,naive_zero,0.11121185513552077,0.1112674334860787,5.557835055793048e-05,3,2.3636363636363638,higher_regret_improvement_is_better
cfg_0443,20,directional_accuracy,transient_chaotic_esn,0.5020961550294571,0.5014521105112055,0.0006440445182516186,2,3.787878787878787,higher_regret_improvement_is_better
cfg_0443,20,mae,naive_zero,0.12236003314864999,0.12236003314864999,0.0,1,0.5252525252525252,higher_regret_improvement_is_better
cfg_0443,20,mase,naive_zero,5.220584220574931,5.220584220574931,0.0,1,0.5858585858585859,higher_regret_improvement_is_better
cfg_0443,20,rmse,naive_zero,0.20835468152851241,0.20835468152851241,0.0,1,0.7272727272727273,higher_regret_improvement_is_better
cfg_0445,1,directional_accuracy,esn,0.6697793708516613,0.6697793708516613,0.0,1,0.15056818181818177,higher_regret_improvement_is_better
cfg_0445,1,mae,esn,0.013404195745452414,0.013404195745452414,0.0,1,0.5795454545454546,higher_regret_improvement_is_better
cfg_0445,1,mase,esn,1.1584374628014285,1.1584374628014285,0.0,1,0.13636363636363635,higher_regret_improvement_is_better
cfg_0445,1,rmse,esn,0.032258182667010415,0.032258182667010415,0.0,1,0.13636363636363635,higher_regret_improvement_is_better
cfg_0445,5,directional_accuracy,esn,0.5251110413392175,0.5251110413392175,0.0,1,1.4545454545454546,higher_regret_improvement_is_better
cfg_0445,5,mae,naive_zero,0.056397847752976044,0.056397847752976044,0.0,1,0.4772727272727273,higher_regret_improvement_is_better
cfg_0445,5,mase,naive_zero,2.4407354443546767,2.440738153456436,2.7091017593683375e-06,2,0.5113636363636364,higher_regret_improvement_is_better
cfg_0445,5,rmse,naive_zero,0.11120730498279503,0.11126743348607873,6.012850328369901e-05,4,2.3295454545454546,higher_regret_improvement_is_better
cfg_0445,20,directional_accuracy,transient_chaotic_esn,0.5030293460997125,0.5014521105112055,0.0015772355885069755,3,4.309659090909091,higher_regret_improvement_is_better
cfg_0445,20,mae,naive_zero,0.12236003314865002,0.12236003314865002,0.0,1,0.8977272727272727,higher_regret_improvement_is_better
cfg_0445,20,mase,naive_zero,5.220584220574931,5.220584220574931,0.0,1,0.7159090909090909,higher_regret_improvement_is_better
cfg_0445,20,rmse,naive_zero,0.20835468152851241,0.20835468152851241,0.0,1,1.0568181818181819,higher_regret_improvement_is_better
